|                       |       min |            max |      mean |       std |   CV (%) |
|:----------------------|----------:|---------------:|----------:|----------:|---------:|
| utilization           |      0.4  |    0.76        |      0.59 |      0.08 |    14.23 |
| wirelength            | 224062    |    1.86061e+06 | 751723    | 417858    |    55.59 |
| power_total           |      0.01 |    0.1         |      0.05 |      0.02 |    48.37 |
| setup_slack           |     -3.46 |    2.44        |     -0.43 |      1.42 |   333.76 |
| setup_tns             |  -1915.36 |    0           |    -73.34 |    143.93 |   196.25 |
| setup_vio_count       |      0    | 2021           |    214.04 |    388.31 |   181.42 |
| skew_setup            |      0.51 |    1.61        |      0.73 |      0.16 |    21.81 |
| hold_slack            |     -0.65 |    0.06        |     -0.13 |      0.1  |    73.66 |
| hold_tns              |   -395.33 |    0           |    -79.06 |    122.53 |   154.99 |
| hold_vio_count        |      0    | 9410           |   2794.61 |   3812.14 |   136.41 |
| skew_hold             |     -1.46 |   -0.51        |     -0.72 |      0.16 |    22.31 |
| clock_buffers         |     85    | 2338           |    451.46 |    359.82 |    79.7  |
| clock_inverters       |      4    | 1126           |    167.94 |    183.6  |   109.32 |
| timing_repair_buffers |     98    |  960           |    423.61 |    240.76 |    56.84 |
