|                       |       min |       max |      mean |      std |   CV (%) |
|:----------------------|----------:|----------:|----------:|---------:|---------:|
| utilization           |      0.43 |      0.76 |      0.61 |     0.08 |    13.96 |
| wirelength            | 224062    | 323732    | 264910    | 21404.6  |     8.08 |
| power_total           |      0.03 |      0.05 |      0.03 |     0    |     7.93 |
| setup_slack           |     -2.95 |     -0.38 |     -1.66 |     0.82 |    49.32 |
| setup_tns             |   -336.33 |     -5.3  |    -82.5  |    68.98 |    83.62 |
| setup_vio_count       |     26    |    454    |    157.7  |   124.12 |    78.71 |
| hold_slack            |     -0.52 |     -0.03 |     -0.07 |     0.05 |    66.48 |
| hold_tns              |    -47.74 |     -0.14 |    -18.08 |     8.33 |    46.08 |
| hold_vio_count        |      6    |   1195    |    924.96 |   362.47 |    39.19 |
| skew_hold             |     -1.27 |     -0.51 |     -0.61 |     0.12 |    19.9  |
| clock_buffers         |     85    |    423    |    184.5  |    58.59 |    31.76 |
| clock_inverters       |      4    |    201    |     79.35 |    43.59 |    54.94 |
| timing_repair_buffers |    258    |    309    |    278.1  |    10.77 |     3.87 |
