Epoch,Time,U_Avg_R2,S_MAE_Skew,U_R2_Skew,U_MAE_Skew,S_MAE_Power,U_R2_Power,U_MAE_Power,S_MAE_Wire,U_R2_Wire,U_MAE_Wire
1,8.984334230422974,-37.68884,0.26870948,-68.44046,0.058317855,0.4120054,-17.430056,0.26549748,1.0512301,-27.196007,1.1571
2,16.953848600387573,-410.36508,0.20869255,-1223.2859,0.29638663,0.2632196,-6.678106,0.15568249,0.2614759,-1.1312339,0.2752088
3,28.618486642837524,-363.91306,0.20267834,-1084.5168,0.27897066,0.2448191,-6.4746814,0.15641773,0.22681686,-0.74750054,0.24556023
4,35.424851179122925,-312.76602,0.19959353,-932.1108,0.25674817,0.23260823,-5.6138744,0.1447454,0.20932737,-0.5734031,0.22993751
5,40.96138286590576,-354.8185,0.19542642,-1056.8077,0.2730979,0.22888601,-7.007491,0.1602767,0.18569314,-0.64037585,0.2339299
6,46.0858051776886,-325.62415,0.19286877,-971.0642,0.25971147,0.20999008,-5.0175366,0.13383314,0.17050639,-0.7907039,0.24579239
7,54.69180917739868,-256.85614,0.18906552,-764.66113,0.22734012,0.1960457,-4.6701064,0.13720313,0.15939003,-1.2371855,0.2732608
8,62.312867164611816,-285.27863,0.1948558,-847.8578,0.23953792,0.18021165,-5.8118267,0.1597222,0.15274413,-2.1662824,0.3212233
9,69.79634523391724,-212.74194,0.18933928,-627.9641,0.20202704,0.16576724,-7.8417206,0.17856036,0.14762923,-2.4199853,0.33228108
10,76.77888369560242,-212.10753,0.18811789,-624.2552,0.20153998,0.1586198,-9.404451,0.19536895,0.14439979,-2.662901,0.3427946
11,88.71348738670349,-246.16365,0.18891953,-725.2485,0.21865343,0.15254675,-10.810455,0.20631512,0.14215434,-2.4319913,0.3320146
12,96.13163208961487,-266.02332,0.18943648,-781.7998,0.2282241,0.14470983,-13.363014,0.21746582,0.13986236,-2.9070754,0.3522267
13,106.79128456115723,-280.79852,0.18876699,-823.99493,0.2348432,0.13967314,-15.530678,0.22796772,0.13901639,-2.869912,0.34984452
14,120.59213876724243,-295.33035,0.18773855,-865.6694,0.24078852,0.13753125,-17.264551,0.2345983,0.1392921,-3.057188,0.35809043
