Epoch,Time,U_Avg_R2,S_MAE_Skew,U_R2_Skew,U_MAE_Skew,S_MAE_Power,U_R2_Power,U_MAE_Power,S_MAE_Wire,U_R2_Wire,U_MAE_Wire
1,5.321089267730713,-232.13393,0.22899486,-691.046,0.22044306,0.29155293,-4.7473664,0.1317558,0.26684,-0.6084173,0.23375283
2,9.808313846588135,-181.4793,0.21267559,-538.8075,0.1952227,0.2756643,-5.4278917,0.14814943,0.25198463,-0.20246446,0.19932699
3,14.403956413269043,-198.22865,0.21034937,-588.1983,0.20413397,0.26786104,-6.4396553,0.16530958,0.24085832,-0.048048377,0.18590114
4,19.242710828781128,-216.45813,0.21074595,-641.33624,0.21209474,0.26482305,-8.063217,0.18734613,0.23191927,0.02506727,0.17943794
5,24.34263324737549,-132.89836,0.19454484,-391.85355,0.16050461,0.25809294,-6.901484,0.17317127,0.2253191,0.05993384,0.17621157
6,29.052556037902832,-135.47676,0.19251145,-397.5163,0.15970467,0.2560013,-9.039312,0.19863021,0.21880534,0.12530601,0.17169572
7,34.77535843849182,-160.0548,0.19274504,-469.35803,0.17468847,0.25492373,-10.960205,0.21889977,0.21358082,0.15385854,0.16915244
8,41.185190200805664,-204.87941,0.19741347,-604.0277,0.20046471,0.24920166,-10.79462,0.21675923,0.20734854,0.18407059,0.16554649
9,46.611918926239014,-158.51323,0.18982986,-464.95187,0.17253026,0.24311508,-10.786331,0.21596128,0.1992653,0.19854552,0.16213183
10,52.78794050216675,-167.88155,0.1887335,-491.9092,0.17671888,0.24011266,-11.97461,0.22746128,0.19433738,0.23920518,0.15775155
11,58.338592290878296,-168.99068,0.18687707,-495.54495,0.17694657,0.2328273,-11.675348,0.2240521,0.18706933,0.24827474,0.15692845
12,63.15938711166382,-187.33076,0.18727787,-550.00806,0.18787947,0.22597227,-12.212616,0.22902292,0.18189639,0.22841859,0.1589617
13,69.02556300163269,-160.09843,0.18088637,-466.71243,0.16748656,0.22193357,-13.854494,0.24380356,0.1809153,0.27159214,0.15286028
14,76.88739323616028,-208.1035,0.18336356,-612.0649,0.19557378,0.21514888,-12.520601,0.23053575,0.17334776,0.2750045,0.15213928
15,86.3082799911499,-195.60211,0.1813944,-563.0698,0.18701348,0.23306729,-23.921124,0.3222881,0.19116537,0.18460238,0.1651479
16,93.54987454414368,-174.00293,0.17795387,-504.4425,0.1744349,0.21097803,-17.854874,0.27637446,0.16794695,0.28857392,0.14894214
17,102.34435486793518,-174.68732,0.178158,-500.8903,0.1746995,0.21295431,-23.31341,0.31668562,0.17419054,0.1417129,0.16856693
18,110.57650399208069,-239.3857,0.1832849,-696.5486,0.21209048,0.20624727,-21.82947,0.30530298,0.16227202,0.22094345,0.1572285
19,121.67745018005371,-227.60962,0.1808668,-653.04395,0.2052532,0.20985617,-29.874203,0.35916978,0.16204605,0.08931124,0.17379569
20,131.86113667488098,-264.40103,0.18350253,-771.4714,0.22456826,0.19394727,-21.89198,0.3044437,0.15246017,0.16030645,0.16413452
21,139.95518326759338,-210.5777,0.177562,-603.0552,0.19539167,0.19346161,-28.717707,0.35038885,0.15097311,0.039779365,0.17781943
22,146.90331530570984,-249.95201,0.17790647,-716.5668,0.21494718,0.19246724,-33.20662,0.37788576,0.14781821,-0.08262086,0.1892454
23,159.16814255714417,-270.62802,0.17723237,-770.3969,0.22465006,0.19274913,-41.245506,0.42269474,0.14483461,-0.24171984,0.20326486
24,168.73367977142334,-293.62878,0.17840473,-837.1502,0.23548988,0.18858093,-43.454506,0.4338971,0.13939352,-0.28159595,0.20602445
25,177.53022050857544,-322.33188,0.17994498,-919.7276,0.24937549,0.18313542,-46.566303,0.44965944,0.14222054,-0.70177317,0.24293973
26,185.7558045387268,-334.64017,0.18230636,-945.79376,0.25337553,0.18844214,-57.157433,0.49947518,0.14390604,-0.969288,0.26512143
27,192.70510077476501,-317.9752,0.17526896,-896.18756,0.24460147,0.17531118,-56.74239,0.49731472,0.13306451,-0.9956325,0.26697817
28,199.9435555934906,-334.4585,0.17655359,-948.3176,0.25332507,0.16820833,-54.12136,0.48515368,0.12942928,-0.9365125,0.26151535
29,207.92482328414917,-453.50485,0.18937363,-1285.2811,0.29883578,0.17644992,-73.651344,0.5683185,0.13140245,-1.5820081,0.3121908
30,215.60390043258667,-444.62277,0.18218808,-1255.8274,0.2948338,0.16852213,-76.30329,0.5784651,0.12769161,-1.7375314,0.32317418
31,225.17965459823608,-373.81577,0.17305881,-1035.9977,0.26273826,0.16432528,-83.61874,0.6059409,0.12408146,-1.8307953,0.33008
32,233.84000182151794,-360.6331,0.17301634,-1003.886,0.25957203,0.15630297,-75.81934,0.575965,0.12379863,-2.193937,0.35391027
33,240.54003286361694,-367.96262,0.17262629,-1005.1629,0.25813425,0.1589112,-96.020134,0.6497769,0.12245063,-2.7048478,0.3871233
34,250.19119882583618,-451.04074,0.17685917,-1251.9258,0.29267362,0.15265138,-98.15564,0.65723085,0.12013714,-3.040749,0.40664166
35,259.91261434555054,-372.4324,0.1726806,-1002.84924,0.25912306,0.1539437,-110.902374,0.6992557,0.12060734,-3.545627,0.4341674
36,268.61740922927856,-492.9495,0.17733543,-1368.2726,0.306012,0.1458411,-107.04006,0.68659127,0.11863926,-3.5358877,0.433421
37,277.7043972015381,-458.86533,0.1722021,-1252.7114,0.29026887,0.1444327,-119.91727,0.72700876,0.117410846,-3.9672804,0.45580694
38,286.32407784461975,-521.8169,0.17640038,-1431.2747,0.31311455,0.14447409,-129.4195,0.75571805,0.11723007,-4.75658,0.49559256
39,294.9207434654236,-594.11017,0.17896165,-1644.203,0.33731973,0.14027363,-132.90308,0.7658622,0.11595374,-5.2245226,0.5186945
40,301.2437677383423,-496.84122,0.17216024,-1355.2974,0.30322903,0.13868427,-130.37633,0.7583211,0.11461241,-4.8500214,0.50072014
41,306.80281352996826,-532.71075,0.1727078,-1448.8846,0.31543204,0.13741998,-143.41243,0.7958398,0.11379855,-5.8350735,0.54745984
42,312.40345764160156,-584.0229,0.17559555,-1610.136,0.33407453,0.13675553,-137.34348,0.77804244,0.11945345,-4.589253,0.48805505
43,322.0954110622406,-513.2725,0.17203777,-1383.826,0.30684966,0.13337396,-150.51732,0.81493604,0.11330156,-5.474148,0.5308508
44,330.45233273506165,-557.2702,0.17264152,-1515.6956,0.32238376,0.13492058,-150.97484,0.81561655,0.12086531,-5.140199,0.5148615
45,337.81323075294495,-510.46582,0.17027062,-1369.7314,0.30326962,0.13129903,-155.64723,0.82849824,0.11333397,-6.018838,0.55564034
46,344.4605596065521,-624.0579,0.17324133,-1700.7289,0.34138766,0.13008757,-165.1047,0.85354877,0.11354979,-6.34026,0.57036704
47,353.4379827976227,-531.2449,0.17076589,-1412.6729,0.3093833,0.12738913,-174.53452,0.8776697,0.112114124,-6.5272293,0.57858795
48,360.84611105918884,-650.2555,0.17610464,-1763.9677,0.3500189,0.12698083,-179.00919,0.88937694,0.112021714,-7.789729,0.6313047
49,368.5515217781067,-636.45264,0.17518991,-1717.7382,0.34439376,0.12602207,-183.65308,0.9004286,0.11321903,-7.9666224,0.63810575
50,374.38538813591003,-586.6683,0.17022792,-1554.5474,0.3247918,0.12601796,-197.92195,0.9355004,0.10921852,-7.535569,0.6216142
51,379.83911061286926,-623.20264,0.17058685,-1687.3136,0.33904368,0.13845426,-175.23647,0.8787998,0.11521431,-7.0579224,0.60209256
52,387.59690952301025,-606.9139,0.17204899,-1614.2001,0.3314661,0.12360457,-198.14847,0.9354623,0.108166374,-8.39315,0.65527016
53,397.3415093421936,-663.2685,0.17332332,-1776.6462,0.35033044,0.12351629,-204.80045,0.95143497,0.10811448,-8.358759,0.6545713
54,403.3405411243439,-730.1291,0.17471832,-1981.0576,0.37043756,0.12215328,-201.73764,0.94367504,0.10954501,-7.591919,0.6249325
55,412.9824059009552,-674.77155,0.17223342,-1800.5851,0.35220796,0.122805096,-214.50557,0.97370136,0.110198416,-9.22394,0.68683946
56,419.9402675628662,-722.57794,0.17357242,-1944.4176,0.36696061,0.12072245,-214.88962,0.97396404,0.10749988,-8.426747,0.6576037
57,426.1056327819824,-649.03546,0.16922154,-1724.5571,0.3424449,0.12162068,-214.28091,0.97249126,0.109563254,-8.268303,0.6513942
58,434.57397055625916,-718.042,0.17122704,-1939.3025,0.36529878,0.123644926,-206.58592,0.95466834,0.10877471,-8.237602,0.6502173
