Epoch,Time,U_Avg_R2,S_MAE_Skew,U_R2_Skew,U_MAE_Skew,S_MAE_Power,U_R2_Power,U_MAE_Power,S_MAE_Wire,U_R2_Wire,U_MAE_Wire
1,8.025935888290405,-79.55891,0.3014144,-231.5562,0.119527236,0.31434333,-3.1713476,0.11638145,0.3196492,-3.949181,0.43748426
2,14.940186023712158,-93.72278,0.2448329,-278.7675,0.1313651,0.30814683,-2.0501416,0.09383823,0.26240385,-0.35071683,0.21658573
3,21.105427026748657,-115.94015,0.23344065,-343.68265,0.15091136,0.29163215,-4.0014496,0.1247649,0.24524383,-0.13635409,0.20063604
4,30.586150884628296,-167.11218,0.22984451,-494.2873,0.18345185,0.28041986,-7.066724,0.16674434,0.23029284,0.017455637,0.18508278
5,41.574506521224976,-132.38293,0.21179962,-391.57562,0.15838131,0.25669172,-5.621366,0.1463011,0.2088411,0.04819578,0.1773419
6,48.0739951133728,-176.25865,0.2071981,-520.94775,0.18322456,0.23201698,-7.9354115,0.17452306,0.18910894,0.107248545,0.17031877
7,56.65942025184631,-192.34137,0.2001295,-567.4952,0.18999149,0.20394932,-9.649355,0.1926905,0.1692664,0.120425224,0.16772303
8,61.166526556015015,-154.4872,0.18948437,-456.58096,0.16469832,0.17633519,-7.003313,0.1590589,0.1538178,0.12268019,0.16723795
9,65.68726372718811,-267.95996,0.19500434,-791.0276,0.22679451,0.1490775,-13.062615,0.22743264,0.1497965,0.21031952,0.16103408
10,70.22257924079895,-236.66228,0.18289652,-697.9543,0.20752896,0.13723564,-12.243199,0.21731976,0.14066766,0.21070582,0.1592915
11,76.82722544670105,-275.5467,0.18147638,-810.57825,0.22515701,0.13237682,-16.302357,0.2533466,0.13933378,0.24053961,0.15557076
12,81.68699383735657,-272.61136,0.17747745,-797.4462,0.22359198,0.12903047,-20.610996,0.28716895,0.13612749,0.22320569,0.15796176
13,86.1437726020813,-340.78934,0.18195495,-996.71545,0.25292367,0.12795752,-25.85087,0.32375893,0.13404585,0.19839019,0.16159147
14,90.66073846817017,-317.87143,0.17985828,-929.3681,0.2455513,0.123680085,-24.46145,0.31122848,0.12881328,0.21525139,0.16002989
15,95.76805138587952,-256.1727,0.17417985,-743.90576,0.21325268,0.12377645,-24.812807,0.31327784,0.12687534,0.2004137,0.16156669
16,101.69462537765503,-345.69235,0.1763335,-1005.0229,0.25626996,0.122774206,-32.046806,0.3605297,0.12732278,-0.007328391,0.17847659
17,110.50519466400146,-319.06033,0.17349488,-926.9455,0.24508944,0.12308161,-30.276514,0.3486593,0.12248607,0.04095626,0.1739698
18,114.86653923988342,-392.85254,0.17827535,-1150.4857,0.27624992,0.12703249,-28.151123,0.33544135,0.12428242,0.07922763,0.17011814
19,119.37232637405396,-381.59152,0.1754583,-1105.0306,0.27041376,0.11823537,-39.49612,0.40364894,0.12224098,-0.24777031,0.19916555
20,124.40873765945435,-396.36557,0.1759409,-1150.7803,0.2770122,0.119068034,-37.967693,0.39452332,0.119607046,-0.34870481,0.20838653
21,130.96690964698792,-397.1788,0.17481387,-1153.1288,0.27686676,0.11654711,-38.261486,0.39706567,0.1149652,-0.14616299,0.18988775
22,135.55272316932678,-417.68362,0.17680427,-1206.6608,0.28450352,0.11659487,-45.963467,0.4364546,0.11727984,-0.426641,0.21702501
23,140.24579000473022,-407.06577,0.17513357,-1179.2776,0.28131327,0.11432703,-41.4354,0.41241336,0.117651105,-0.48426473,0.22289443
24,144.6487786769867,-372.9924,0.17189912,-1074.6226,0.26655436,0.1136813,-44.064445,0.42639315,0.1118285,-0.29021442,0.20451947
25,149.10986137390137,-355.96606,0.17073229,-1027.2263,0.25958747,0.11616233,-40.354393,0.40592465,0.11144064,-0.3175125,0.20677947
26,153.62338423728943,-379.27588,0.1721823,-1088.7217,0.26948088,0.11216065,-48.615627,0.44869632,0.110153876,-0.49030554,0.22440986
27,158.133403301239,-402.4042,0.172597,-1160.7544,0.2783687,0.11141467,-46.20354,0.43634638,0.10971864,-0.25476658,0.20150182
28,162.61398267745972,-467.0496,0.17620224,-1345.7805,0.30302426,0.11291105,-54.768417,0.4785602,0.11054971,-0.5998119,0.23651135
29,167.08505034446716,-450.70425,0.17514892,-1300.3125,0.29710364,0.11108063,-51.340317,0.4618592,0.10746511,-0.45995474,0.22299868
30,172.88732361793518,-397.1472,0.17341141,-1143.5211,0.2770449,0.109965645,-47.40819,0.44240257,0.10924685,-0.5122191,0.22876649
31,177.89201998710632,-500.0648,0.17885144,-1449.08,0.31612054,0.11034013,-50.634827,0.45783174,0.10680722,-0.47944176,0.22601518
32,184.02082204818726,-457.97012,0.1742873,-1322.4495,0.30072138,0.10999002,-50.76301,0.4585092,0.10531967,-0.6979344,0.24718376
33,190.6096556186676,-362.96887,0.17147858,-1031.2191,0.26181135,0.10824388,-57.06416,0.4877705,0.10522874,-0.6233078,0.24073716
34,198.34006905555725,-404.89224,0.17169876,-1152.9999,0.2787191,0.10948896,-60.717884,0.5049106,0.107339256,-0.959013,0.2735553
35,203.1129970550537,-478.056,0.1759474,-1381.0596,0.30805025,0.108002536,-52.5099,0.4667999,0.10520554,-0.5985385,0.2400801
36,208.7742154598236,-511.70508,0.17570591,-1474.2682,0.31927657,0.108713865,-60.234924,0.501322,0.11113129,-0.61211,0.24054053
37,214.8850076198578,-491.6401,0.17415445,-1419.4694,0.31239843,0.10716362,-54.79336,0.4773585,0.10431234,-0.6576226,0.24637304
38,220.11995577812195,-447.93143,0.17178284,-1281.2148,0.29489574,0.10498762,-61.869984,0.5092139,0.10312837,-0.7094567,0.25227877
39,226.05119585990906,-464.5173,0.17263782,-1332.5308,0.30171975,0.10458239,-60.45619,0.5027798,0.1034419,-0.56489766,0.2386
40,231.68674492835999,-454.68503,0.17204839,-1306.3856,0.29840547,0.10614118,-57.13931,0.48910722,0.10223417,-0.53019524,0.2350345
41,236.8658049106598,-419.72253,0.1709066,-1185.5353,0.28370035,0.10580832,-72.687,0.55479985,0.10337116,-0.9453647,0.27340114
42,241.50885343551636,-525.1317,0.17465787,-1507.0311,0.3225051,0.104840785,-67.1181,0.5317358,0.103569984,-1.2459869,0.29929188
43,246.49830794334412,-389.6948,0.1700366,-1104.1931,0.27099773,0.10309328,-64.21807,0.5189144,0.102274984,-0.67327607,0.25024912
44,251.5111198425293,-525.76685,0.17501958,-1509.2544,0.32224172,0.10217371,-67.00842,0.5306874,0.10227282,-1.0377424,0.2824343
45,259.68840432167053,-606.12897,0.17892809,-1751.2289,0.3488454,0.10251342,-66.55798,0.5281486,0.10117278,-0.5999968,0.24310832
46,267.57498240470886,-465.1925,0.16999903,-1318.6787,0.29986677,0.102021635,-75.7555,0.5659919,0.102447756,-1.1433032,0.29174906
47,275.2372100353241,-533.4715,0.17128289,-1529.2384,0.32483345,0.101547144,-70.34002,0.5446583,0.1000631,-0.83613956,0.26656538
48,280.17472887039185,-567.2078,0.17670882,-1629.0927,0.33609325,0.101534806,-71.532936,0.54946744,0.099144585,-0.997823,0.2803323
49,284.96657252311707,-455.58105,0.16884844,-1289.982,0.29560125,0.099871516,-75.70015,0.56668234,0.09827088,-1.0609038,0.28483814
50,290.1727623939514,-652.72394,0.18442942,-1881.9128,0.3629451,0.10135166,-75.146835,0.5639363,0.10334358,-1.1120391,0.28948814
51,295.68736934661865,-439.1311,0.16878822,-1252.2838,0.2906924,0.1055561,-64.220634,0.51868343,0.09701113,-0.88886595,0.27121037
52,300.33949851989746,-525.6516,0.16977015,-1503.9408,0.32074434,0.09988645,-71.82662,0.55053097,0.09649337,-1.187351,0.29638857
53,305.166787147522,-564.0556,0.17466275,-1619.7635,0.3345204,0.09870539,-71.40069,0.5486274,0.097644016,-1.0026748,0.28106746
54,309.8288064002991,-468.70255,0.16816308,-1335.7574,0.30012456,0.09910612,-69.43313,0.54033303,0.09615595,-0.91709733,0.27384922
55,314.43957781791687,-470.00793,0.16808449,-1320.6234,0.29878822,0.0988333,-87.86977,0.6118536,0.0979519,-1.5306082,0.32242224
56,319.034606218338,-544.39435,0.17157966,-1548.54,0.32672486,0.098204784,-83.246,0.59463334,0.10129179,-1.3970234,0.31325912
57,323.69946551322937,-530.2467,0.17342362,-1521.4961,0.32387948,0.101555556,-68.235176,0.53514177,0.09785219,-1.0087664,0.28205413
58,330.994503736496,-479.5258,0.16981292,-1359.5087,0.30445367,0.096406884,-78.03819,0.5741196,0.09429278,-1.0305033,0.28370306
59,336.85934495925903,-558.5943,0.17225347,-1585.7699,0.3308898,0.09992939,-88.53389,0.61387086,0.09589356,-1.4791458,0.3188184
60,346.066917181015,-622.8757,0.17841412,-1787.6986,0.3525898,0.09757223,-79.62252,0.58084583,0.09308811,-1.3058248,0.30598056
61,351.97479224205017,-454.84695,0.16849397,-1280.7682,0.29412887,0.09620403,-82.644066,0.5923095,0.09404873,-1.1286595,0.29253128
62,357.1805109977722,-623.4702,0.17368379,-1781.5367,0.35109714,0.09595807,-87.40225,0.6103451,0.09284143,-1.4717219,0.31898242
63,362.2671637535095,-669.40375,0.17716837,-1920.0035,0.36497986,0.09532914,-86.48359,0.6070144,0.09393376,-1.7241366,0.3364519
64,367.00603675842285,-522.04913,0.16922618,-1473.815,0.31725118,0.09533118,-90.51485,0.62098294,0.09585604,-1.8175535,0.34263632
65,373.38941955566406,-524.4428,0.1702999,-1495.1224,0.32007834,0.09470268,-76.73154,0.5688964,0.09275397,-1.4743655,0.31926972
