Epoch,Time,U_Avg_R2,S_MAE_Skew,U_R2_Skew,U_MAE_Skew,S_MAE_Power,U_R2_Power,U_MAE_Power,S_MAE_Wire,U_R2_Wire,U_MAE_Wire
1,21.764861345291138,-1096.8569,0.2234374,-3252.159,0.48790786,0.2797923,-38.160675,0.4088114,0.22026542,-0.2512337,0.20691603
2,43.96881031990051,-586.3038,0.19455773,-1744.5142,0.35435665,0.2506389,-14.875482,0.25617525,0.20015892,0.4784432,0.1305959
3,65.06380319595337,-563.2451,0.18913813,-1677.1821,0.3452153,0.23340338,-13.1163225,0.24014224,0.18235359,0.56305313,0.117537886
4,88.1262195110321,-476.51282,0.18473424,-1421.7239,0.31332695,0.21322379,-8.427839,0.19395432,0.15100987,0.61328113,0.112252966
5,109.63633680343628,-500.85916,0.1860634,-1495.4752,0.318914,0.19116193,-7.663601,0.1826279,0.12380967,0.5613187,0.11885021
6,131.8315658569336,-504.77023,0.18352053,-1513.2068,0.3181077,0.16090485,-0.8798194,0.06971082,0.111130804,-0.2241664,0.20672019
7,153.05919337272644,-317.62506,0.17542298,-951.5184,0.24270779,0.14447987,-1.0984149,0.0752923,0.107336864,-0.25843585,0.21195365
8,176.22870230674744,-473.86075,0.17341499,-1419.7697,0.30539736,0.13572994,-1.2603323,0.08155194,0.105701216,-0.5521904,0.2414377
9,198.08835744857788,-570.515,0.17327143,-1708.7242,0.33418295,0.1373965,-2.3838189,0.10128761,0.09780222,-0.4369626,0.23153155
10,219.8119876384735,-651.2783,0.1830054,-1952.093,0.36119622,0.12094216,-1.6212451,0.08723558,0.08483841,-0.1207664,0.19698355
11,242.4248423576355,-488.11572,0.16878204,-1461.1068,0.30796763,0.117574565,-3.3679404,0.113253154,0.07495819,0.12760961,0.16378826
12,265.2832341194153,-546.68085,0.17207569,-1637.803,0.32460484,0.116339095,-2.1697598,0.09586299,0.079029836,-0.069699526,0.18738993
13,287.2311797142029,-463.76218,0.16936278,-1389.3707,0.29750422,0.10707219,-1.7536712,0.08717906,0.07958904,-0.16213143,0.1974349
14,308.61357259750366,-435.07254,0.1693768,-1303.1371,0.28549352,0.102664456,-1.9935379,0.091469444,0.07094669,-0.086992264,0.18945079
15,331.0516800880432,-525.69965,0.16768706,-1574.8274,0.31727672,0.09554306,-2.4635687,0.09768197,0.06589787,0.1919738,0.15741462
16,353.2347161769867,-686.7133,0.16859275,-2058.052,0.3706505,0.09448584,-2.2664683,0.09435057,0.06629066,0.17842013,0.15741956
17,376.3169689178467,-537.82587,0.1661775,-1611.5833,0.3243741,0.09073092,-2.024567,0.09165633,0.06810748,0.13026482,0.1658581
18,399.15314054489136,-436.85074,0.16715655,-1308.5245,0.2839467,0.089223035,-2.253167,0.096004315,0.06492303,0.22549468,0.15525803
19,422.13998651504517,-565.84314,0.16460721,-1695.6852,0.3284284,0.086218305,-1.8324287,0.08916622,0.07421785,-0.011788487,0.18354243
20,442.2377083301544,-540.7583,0.16607656,-1619.5588,0.31882423,0.09270721,-3.0368786,0.10528869,0.06430971,0.3208148,0.14069045
21,462.16327810287476,-681.35406,0.16813444,-2042.5243,0.36523673,0.08327391,-1.730758,0.08719388,0.0684089,0.19287366,0.15891053
22,481.38673400878906,-677.14764,0.16757672,-2030.2291,0.36759207,0.08552206,-1.5084794,0.08267202,0.06254211,0.29458857,0.14613993
23,500.27111554145813,-532.0115,0.16432777,-1594.0803,0.3188692,0.08691356,-2.2980607,0.09241771,0.06370561,0.34397864,0.1391379
24,519.8101131916046,-596.32263,0.16650301,-1787.5837,0.3378105,0.083590336,-1.3787138,0.08344441,0.067266114,-0.0055429935,0.18322568
25,540.2387382984161,-556.74713,0.16637982,-1667.6608,0.32940856,0.09415828,-3.1147127,0.10778328,0.07135459,0.5340991,0.11475306
26,560.4934766292572,-449.90442,0.16374563,-1348.7389,0.2860639,0.08020611,-1.3959944,0.08264654,0.0645864,0.4216892,0.13065378
27,580.8735735416412,-455.52,0.16478957,-1364.9218,0.28866026,0.087778,-1.9643362,0.08777685,0.062069252,0.32616585,0.14052178
