Epoch,Time,U_Avg_R2,S_MAE_Skew,U_R2_Skew,U_MAE_Skew,S_MAE_Power,U_R2_Power,U_MAE_Power,S_MAE_Wire,U_R2_Wire,U_MAE_Wire
1,25.32973837852478,-1019.09454,0.21103562,-3022.8618,0.46607208,0.26848346,-33.678894,0.38426328,0.2382862,-0.74299705,0.26234126
2,47.5764217376709,-1063.119,0.20131433,-3155.078,0.47616696,0.2597143,-33.997993,0.38907385,0.2204243,-0.28104222,0.22449563
3,71.53816080093384,-662.89276,0.1917231,-1968.7631,0.36953482,0.23568757,-20.37448,0.30073968,0.18358368,0.45935613,0.13160157
4,95.45414113998413,-813.97784,0.1866138,-2422.8223,0.41001624,0.22432011,-19.67052,0.2948203,0.15662086,0.5591152,0.117415495
5,120.77187657356262,-620.4981,0.18118928,-1855.1776,0.35718223,0.1939425,-6.856356,0.16752344,0.12903294,0.539526,0.121582195
6,140.9261178970337,-679.9321,0.18992564,-2035.9089,0.37457407,0.17996135,-4.405296,0.13348472,0.11948971,0.5177672,0.121404134
7,163.16426467895508,-826.25287,0.19203088,-2473.7332,0.41531256,0.15908709,-5.5449224,0.14503354,0.10768444,0.51961505,0.12284915
8,187.07700562477112,-433.07407,0.17417102,-1298.2064,0.29168856,0.14155611,-1.007909,0.07455051,0.10534027,-0.00782311,0.18693607
9,210.3631227016449,-679.00696,0.17786947,-2035.3997,0.3720221,0.12470602,-2.0093842,0.09103985,0.089620456,0.3881725,0.13842648
10,234.77046370506287,-585.5184,0.17114636,-1754.5192,0.34195828,0.123042814,-1.9991305,0.0917152,0.09189892,-0.03669858,0.19111857
11,254.24116444587708,-550.88727,0.17015424,-1651.3291,0.32924956,0.11096925,-1.8051236,0.08662393,0.08074766,0.47238183,0.12652148
12,273.54218339920044,-631.324,0.1701725,-1891.7595,0.35526016,0.11053137,-2.3450775,0.0962529,0.07921211,0.13272071,0.1688173
13,296.0470359325409,-542.5573,0.16639663,-1625.6908,0.32436776,0.10738664,-2.223434,0.0928557,0.07663137,0.24215323,0.15341888
14,317.91613388061523,-879.5623,0.17484319,-2635.7437,0.42721978,0.113087736,-3.4187956,0.11463001,0.07773642,0.47526556,0.12098043
15,342.0646903514862,-566.4108,0.16555464,-1697.0797,0.32818106,0.10016025,-2.4691842,0.09844148,0.07186679,0.31658226,0.14300263
16,367.28775238990784,-648.18964,0.16879588,-1942.8215,0.35769045,0.09582445,-1.9946351,0.08996794,0.070427164,0.24714154,0.15257293
17,388.58688044548035,-757.0562,0.16905887,-2269.6143,0.3945466,0.092140384,-1.886661,0.0907395,0.068869166,0.3322265,0.14253415
18,409.7811088562012,-551.4345,0.16647224,-1651.6019,0.32576746,0.0946086,-2.7193058,0.099795476,0.08004566,0.017834544,0.18181
