Epoch,Time,U_Avg_R2,S_MAE_Skew,U_R2_Skew,U_MAE_Skew,S_MAE_Power,U_R2_Power,U_MAE_Power,S_MAE_Wire,U_R2_Wire,U_MAE_Wire
1,18.911065101623535,-895.9971,0.18947165,-2674.3743,0.44068182,0.22855155,-13.867673,0.24732013,0.19301882,0.25084782,0.15261842
2,36.7817177772522,-496.88354,0.17598158,-1487.5546,0.31793052,0.14786345,-2.4231164,0.10487822,0.14155367,-0.67296755,0.2466907
3,54.53053092956543,-579.4423,0.17668189,-1733.7166,0.34328744,0.127148,-4.033498,0.124035515,0.11925313,-0.57706654,0.23803812
4,72.21135878562927,-590.4024,0.18410291,-1769.1174,0.3474668,0.12890121,-1.7133543,0.086259976,0.10816104,-0.3765117,0.21948867
5,90.77404499053955,-553.87396,0.16812663,-1659.5653,0.3342115,0.11904781,-2.0041976,0.09045412,0.09965499,-0.05233085,0.18797298
6,108.49764013290405,-654.03143,0.17123558,-1960.6221,0.36681765,0.116271034,-1.6325223,0.08417454,0.099548705,0.16033995,0.1636027
7,130.32129907608032,-589.53937,0.1656782,-1765.7444,0.3466303,0.11393211,-2.6240902,0.098355986,0.09788557,-0.2494694,0.20941396
8,149.67479991912842,-546.841,0.16593884,-1637.1497,0.33147943,0.109939516,-3.3442788,0.111887656,0.084137164,-0.029228091,0.18748042
9,168.65011358261108,-594.6619,0.1659901,-1781.8176,0.34864265,0.10768302,-2.327006,0.09576607,0.08190128,0.15897775,0.16384208
10,186.75598978996277,-657.28107,0.17028826,-1967.7299,0.36613405,0.124675915,-3.8047175,0.12332763,0.08683136,-0.3086877,0.21331318
11,208.9849033355713,-714.6118,0.1638149,-2142.2502,0.38267374,0.10388088,-1.7692361,0.08697755,0.07650791,0.18412358,0.15722522
12,229.5815646648407,-797.227,0.16937469,-2390.2332,0.4043359,0.101323806,-1.6696095,0.08578227,0.073203936,0.22192854,0.15545844
13,247.57890009880066,-768.70746,0.16492587,-2305.0488,0.39574257,0.10520577,-1.4438872,0.08093359,0.07286834,0.3702641,0.13702793
14,266.9417724609375,-830.7866,0.16630284,-2490.5667,0.41169602,0.09541539,-1.6987929,0.085424624,0.08146311,-0.09459996,0.18849543
15,287.6911952495575,-579.13104,0.16434418,-1735.9601,0.34044495,0.09490702,-1.4829333,0.08210373,0.06951405,0.04980135,0.17274752
16,304.73350620269775,-486.69995,0.16661763,-1459.3829,0.30534855,0.101622045,-1.1673677,0.07673747,0.07052539,0.4503786,0.12730075
17,325.79169845581055,-826.40717,0.1700172,-2478.3816,0.40847284,0.091547176,-1.0014532,0.07402664,0.06736293,0.1617285,0.16363764
18,342.9210696220398,-702.44354,0.16620594,-2106.0027,0.37870634,0.093446836,-1.7665823,0.087362744,0.06672389,0.4387256,0.1277197
19,362.1907775402069,-510.59018,0.16156106,-1530.8114,0.31455186,0.09014903,-0.9895781,0.07476981,0.07899701,0.030531943,0.17702556
20,381.4295823574066,-481.1439,0.16252819,-1441.2699,0.30330586,0.09012963,-2.5215225,0.09888008,0.063633196,0.3596906,0.13823427
21,399.75318813323975,-381.8752,0.16470309,-1144.6903,0.26268223,0.08526429,-1.256521,0.078299396,0.065833844,0.32120603,0.14440913
22,421.5118169784546,-542.86993,0.16169009,-1627.111,0.32721508,0.08363453,-1.9141266,0.088256784,0.06408592,0.4153201,0.13141777
23,445.133202791214,-444.73758,0.1621425,-1332.2943,0.28881937,0.0840648,-1.947129,0.08867246,0.06942058,0.028658152,0.17921078
24,467.29152631759644,-678.55,0.16231449,-2033.1188,0.3672971,0.08300106,-2.5930045,0.10216141,0.07122647,0.061843276,0.17540784
25,487.8112483024597,-553.6296,0.16068354,-1659.2738,0.32958293,0.08288341,-2.0996683,0.0915323,0.06281445,0.484762,0.122231945
26,506.6195709705353,-759.87396,0.16807982,-2276.7383,0.39008513,0.09071587,-3.3842268,0.11388693,0.068643175,0.50061154,0.12028225
27,526.8246734142303,-646.71625,0.16263075,-1937.8999,0.36225095,0.079336785,-2.486988,0.09870821,0.0641951,0.23818928,0.15341501
28,548.0513379573822,-690.25275,0.16380742,-2068.4966,0.3772434,0.08306762,-2.775702,0.10335693,0.06288603,0.5138071,0.11899615
29,568.9070730209351,-593.0636,0.16311452,-1777.8256,0.34471875,0.07966918,-1.8922606,0.087642275,0.08010671,0.52701664,0.115997896
30,586.8744959831238,-630.11206,0.15894131,-1888.2932,0.35769755,0.07817433,-2.2965083,0.09555054,0.061271593,0.2534793,0.15233476
31,604.943342924118,-537.8469,0.15877928,-1611.765,0.32724527,0.07603181,-2.094769,0.091196634,0.061598655,0.31899506,0.1464003
32,623.0555746555328,-457.37122,0.16162695,-1370.8993,0.2940434,0.071304396,-1.3405933,0.07813459,0.06572374,0.1262123,0.16927151
33,641.5085241794586,-622.0821,0.15966392,-1865.1228,0.34950686,0.077846065,-1.3403485,0.077544,0.06323408,0.21675909,0.15832761
34,659.1851027011871,-638.59186,0.15994596,-1914.778,0.36040258,0.072165795,-1.2795689,0.0760694,0.06290034,0.28190362,0.15058134
35,677.2755334377289,-667.2496,0.16391198,-2001.363,0.3642995,0.07408534,-0.80697477,0.0708051,0.06170116,0.42127013,0.132458
36,696.6114614009857,-711.01215,0.1621308,-2130.0847,0.38125813,0.07863553,-3.2287169,0.11069206,0.058236208,0.2769984,0.14995748
37,716.8386056423187,-520.9632,0.15874624,-1560.7921,0.32351357,0.06960979,-2.3992174,0.09698241,0.059891477,0.30158156,0.14699969
38,735.5899875164032,-396.75635,0.16115384,-1189.0775,0.27641293,0.067282125,-1.4294276,0.07854411,0.061930455,0.23787093,0.15284018
39,754.3882241249084,-640.89594,0.16121651,-1921.1569,0.35939416,0.073019356,-1.8863668,0.08813745,0.060075246,0.35535634,0.14037415
40,771.7515082359314,-754.31085,0.1682618,-2261.1152,0.38975057,0.06936423,-2.285267,0.0952569,0.0672316,0.4677071,0.12655212
41,792.0871951580048,-502.76877,0.16063875,-1505.7705,0.3155461,0.07031896,-2.719146,0.101939626,0.05807696,0.18337953,0.15891483
42,807.9849901199341,-615.2116,0.15905756,-1844.6151,0.3546633,0.066765465,-1.3094392,0.07701589,0.06106011,0.28972477,0.14877966
43,823.7303938865662,-463.20743,0.16042027,-1388.8658,0.2998112,0.06632657,-0.86163104,0.06855772,0.0640568,0.10512185,0.16957152
44,839.588371515274,-590.4105,0.1596415,-1770.4496,0.34516478,0.06870697,-0.9847956,0.070677616,0.058383364,0.20278627,0.15693958
45,855.8299970626831,-717.36237,0.16203031,-2150.6501,0.38164532,0.069337174,-1.6950922,0.0841034,0.060325723,0.2579863,0.15095703
46,872.2058174610138,-589.325,0.15970723,-1765.8317,0.34243435,0.07207679,-2.2129467,0.09301575,0.06530954,0.06958175,0.17065841
47,888.1638147830963,-721.3354,0.16116908,-2162.4092,0.38516408,0.06774409,-1.7593639,0.08570116,0.061699063,0.16234785,0.16265337
48,904.3852641582489,-751.18866,0.16760176,-2251.3262,0.3998526,0.07157002,-2.7235386,0.10513972,0.060391515,0.48399615,0.12457683
49,920.4701690673828,-559.1192,0.16167393,-1675.8242,0.33317617,0.06827112,-1.8186634,0.08547575,0.06025198,0.28514105,0.147262
50,938.7915987968445,-523.8031,0.15946971,-1570.0309,0.3246417,0.064079836,-1.8188105,0.086737394,0.06126762,0.44043815,0.12946376
51,955.6746890544891,-646.9416,0.16369565,-1939.7992,0.36700657,0.0651874,-1.4683862,0.07958093,0.06213472,0.4428633,0.13029273
52,972.1509709358215,-606.35016,0.15810473,-1817.8282,0.3520025,0.067471996,-1.6924019,0.08396781,0.06003777,0.47006547,0.12783343
53,989.1040515899658,-475.26025,0.15921798,-1424.1113,0.30943978,0.07004285,-1.9821584,0.08974971,0.059313342,0.3127824,0.14721517
54,1006.7104647159576,-518.0313,0.1576397,-1553.424,0.32268023,0.06785345,-0.58356535,0.066638425,0.06674687,-0.08631194,0.18973091
