Reading timing models for corner nom_tt_025C_1v80…
Reading timing library for the 'nom_tt_025C_1v80' corner at '/home/rain/.volare/volare/sky130/versions/0fe599b2afb6708d281543108caf8310912f54af/sky130A/libs.ref/sky130_fd_sc_hd/lib/sky130_fd_sc_hd__tt_025C_1v80.lib'…
Reading timing models for corner nom_ff_n40C_1v95…
Reading timing library for the 'nom_ff_n40C_1v95' corner at '/home/rain/.volare/volare/sky130/versions/0fe599b2afb6708d281543108caf8310912f54af/sky130A/libs.ref/sky130_fd_sc_hd/lib/sky130_fd_sc_hd__ff_n40C_1v95.lib'…
Reading timing models for corner nom_ss_100C_1v60…
Reading timing library for the 'nom_ss_100C_1v60' corner at '/home/rain/.volare/volare/sky130/versions/0fe599b2afb6708d281543108caf8310912f54af/sky130A/libs.ref/sky130_fd_sc_hd/lib/sky130_fd_sc_hd__ss_100C_1v60.lib'…
Reading OpenROAD database at '/home/rain/CTS-Task-Aware-Clustering/CTS-Bench/runs/aes_nsga2_p1_cd70_cs14_mw258_bd146_20260327_000717/09-openroad-globalplacement/aes.odb'…
Reading design constraints file at './designs/base.sdc'…
[INFO] No information on clock propagation in input SDC file-- propagating all clocks.
[INFO] Setting RC values…
[INFO RSZ-0027] Inserted 43 input buffers.
[INFO RSZ-0028] Inserted 32 output buffers.
[INFO RSZ-0058] Using max wire length 6335um.
Iteration | Resized | Buffers | Nets repaired | Remaining
---------------------------------------------------------
        0 |       0 |       0 |             0 |     15771
      100 |      28 |       0 |             0 |     15671
      200 |      31 |       0 |             0 |     15571
      300 |      34 |       0 |             0 |     15471
      400 |      39 |       0 |             2 |     15371
      500 |      48 |       0 |             3 |     15271
      600 |      57 |       0 |             3 |     15171
      700 |      60 |       0 |             3 |     15071
      800 |      81 |       0 |             3 |     14971
      900 |      85 |       0 |             3 |     14871
     1000 |     105 |       0 |             3 |     14771
     1100 |     109 |       0 |             3 |     14671
     1200 |     137 |       0 |             3 |     14571
     1300 |     141 |       0 |             3 |     14471
     1400 |     206 |       0 |             3 |     14371
     1500 |     206 |       0 |             3 |     14271
     1600 |     207 |       0 |             3 |     14171
     1700 |     215 |       0 |             3 |     14071
     1800 |     216 |       0 |             3 |     13971
     1900 |     242 |       0 |             3 |     13871
     2000 |     307 |       0 |             3 |     13771
     2100 |     356 |       0 |             4 |     13671
     2200 |     438 |       0 |             4 |     13571
     2300 |     509 |       0 |             4 |     13471
     2400 |     586 |       0 |             5 |     13371
     2500 |     680 |       0 |             5 |     13271
     2600 |     769 |       0 |             5 |     13171
     2700 |     853 |       0 |             5 |     13071
     2800 |     944 |       0 |             5 |     12971
     2900 |    1042 |       0 |             5 |     12871
     3000 |    1130 |       0 |             5 |     12771
     3100 |    1198 |       0 |             5 |     12671
     3200 |    1282 |       0 |             5 |     12571
     3300 |    1375 |       0 |             5 |     12471
     3400 |    1473 |       0 |             5 |     12371
     3500 |    1567 |       0 |             5 |     12271
     3600 |    1665 |       0 |             5 |     12171
     3700 |    1752 |       0 |             5 |     12071
     3800 |    1841 |       0 |             5 |     11971
     3900 |    1938 |       0 |             5 |     11871
     4000 |    2025 |       0 |             5 |     11771
     4100 |    2120 |       0 |             5 |     11671
     4200 |    2214 |       0 |             5 |     11571
     4300 |    2289 |       0 |             5 |     11471
     4400 |    2382 |       0 |             5 |     11371
     4500 |    2473 |       0 |             5 |     11271
     4600 |    2561 |       0 |             5 |     11171
     4700 |    2653 |       0 |             5 |     11071
     4800 |    2745 |       0 |             5 |     10971
     4900 |    2835 |       0 |             5 |     10871
     5000 |    2924 |       0 |             5 |     10771
     5100 |    3015 |       3 |             8 |     10671
     5200 |    3114 |       3 |            21 |     10571
     5300 |    3212 |       3 |            32 |     10471
     5400 |    3306 |       3 |            32 |     10371
     5500 |    3400 |       3 |            32 |     10271
     5600 |    3488 |       3 |            32 |     10171
     5700 |    3581 |       3 |            32 |     10071
     5800 |    3673 |       3 |            32 |      9971
     5900 |    3765 |       3 |            32 |      9871
     6000 |    3852 |       3 |            32 |      9771
     6100 |    3943 |       4 |            38 |      9671
     6200 |    4032 |       4 |            38 |      9571
     6300 |    4116 |       4 |            38 |      9471
     6400 |    4212 |       4 |            38 |      9371
     6500 |    4304 |       4 |            38 |      9271
     6600 |    4396 |       4 |            38 |      9171
     6700 |    4495 |       4 |            38 |      9071
     6800 |    4589 |       5 |            39 |      8971
     6900 |    4671 |       5 |            39 |      8871
     7000 |    4756 |      11 |            40 |      8771
     7100 |    4838 |      11 |            40 |      8671
     7200 |    4924 |      11 |            40 |      8571
     7300 |    5000 |      11 |            40 |      8471
     7400 |    5086 |      11 |            40 |      8371
     7500 |    5171 |      11 |            40 |      8271
     7600 |    5264 |      11 |            40 |      8171
     7700 |    5360 |      11 |            40 |      8071
     7800 |    5456 |      11 |            40 |      7971
     7900 |    5550 |      11 |            40 |      7871
     8000 |    5588 |      12 |            41 |      7771
     8100 |    5656 |      18 |            43 |      7671
     8200 |    5747 |      18 |            43 |      7571
     8300 |    5840 |      19 |            44 |      7471
     8400 |    5919 |      19 |            44 |      7371
     8500 |    6004 |      19 |            47 |      7271
     8600 |    6102 |      19 |            47 |      7171
     8700 |    6198 |      19 |            47 |      7071
     8800 |    6296 |      19 |            47 |      6971
     8900 |    6393 |      19 |            47 |      6871
     9000 |    6489 |      19 |            47 |      6771
     9100 |    6586 |      19 |            47 |      6671
     9200 |    6683 |      19 |            47 |      6571
     9300 |    6776 |      19 |            47 |      6471
     9400 |    6868 |      20 |            48 |      6371
     9500 |    6968 |      22 |            50 |      6271
     9600 |    7067 |      23 |            51 |      6171
     9700 |    7166 |      29 |            58 |      6071
     9800 |    7266 |      32 |            59 |      5971
     9900 |    7351 |      32 |            59 |      5871
    10000 |    7446 |      32 |            59 |      5771
    10100 |    7464 |      38 |            61 |      5671
    10200 |    7507 |      38 |            61 |      5571
    10300 |    7596 |      38 |            61 |      5471
    10400 |    7681 |      38 |            61 |      5371
    10500 |    7767 |      38 |            61 |      5271
    10600 |    7865 |      38 |            61 |      5171
    10700 |    7962 |      38 |            61 |      5071
    10800 |    8062 |      38 |            61 |      4971
    10900 |    8162 |      38 |            61 |      4871
    11000 |    8259 |      38 |            61 |      4771
    11100 |    8347 |      78 |            73 |      4671
    11200 |    8446 |      84 |            74 |      4571
    11300 |    8447 |      87 |            75 |      4471
    11400 |    8452 |      90 |            78 |      4371
    11500 |    8490 |      90 |            78 |      4271
    11600 |    8590 |      90 |            78 |      4171
    11700 |    8684 |      99 |            86 |      4071
    11800 |    8778 |     103 |            88 |      3971
    11900 |    8874 |     103 |            88 |      3871
    12000 |    8952 |     158 |           100 |      3771
    12100 |    9015 |     209 |           114 |      3671
    12200 |    9100 |     212 |           116 |      3571
    12300 |    9174 |     213 |           117 |      3471
    12400 |    9267 |     213 |           117 |      3371
    12500 |    9321 |     217 |           118 |      3271
    12600 |    9326 |     217 |           118 |      3171
    12700 |    9369 |     219 |           120 |      3071
    12800 |    9466 |     219 |           120 |      2971
    12900 |    9564 |     219 |           120 |      2871
    13000 |    9663 |     219 |           120 |      2771
    13100 |    9763 |     219 |           120 |      2671
    13200 |    9863 |     219 |           120 |      2571
    13300 |    9963 |     219 |           120 |      2471
    13400 |   10063 |     219 |           120 |      2371
    13500 |   10163 |     219 |           120 |      2271
    13600 |   10263 |     219 |           120 |      2171
    13700 |   10363 |     219 |           120 |      2071
    13800 |   10463 |     219 |           120 |      1971
    13900 |   10563 |     219 |           120 |      1871
    14000 |   10663 |     219 |           120 |      1771
    14100 |   10763 |     219 |           120 |      1671
    14200 |   10863 |     219 |           120 |      1571
    14300 |   10963 |     219 |           120 |      1471
    14400 |   11063 |     219 |           120 |      1371
    14500 |   11161 |     220 |           121 |      1271
    14600 |   11261 |     220 |           121 |      1171
    14700 |   11361 |     220 |           121 |      1071
    14800 |   11461 |     220 |           121 |       971
    14900 |   11561 |     220 |           121 |       871
    15000 |   11661 |     220 |           121 |       771
    15100 |   11760 |     222 |           122 |       671
    15200 |   11859 |     222 |           122 |       571
    15300 |   11958 |     222 |           122 |       471
    15400 |   12056 |     222 |           122 |       371
    15500 |   12155 |     224 |           123 |       271
    15600 |   12255 |     226 |           124 |       171
    15700 |   12350 |     226 |           124 |        71
    final |   12378 |     247 |           125 |         0
---------------------------------------------------------
[INFO RSZ-0034] Found 125 slew violations.
[INFO RSZ-0036] Found 75 capacitance violations.
[INFO RSZ-0038] Inserted 247 buffers in 125 nets.
[INFO RSZ-0039] Resized 12378 instances.
Placement Analysis
---------------------------------
total displacement      39910.6 u
average displacement        1.8 u
max displacement           28.8 u
original HPWL          605279.9 u
legalized HPWL         641766.4 u
delta HPWL                    6 %

[INFO DPL-0020] Mirrored 4403 instances
[INFO DPL-0021] HPWL before          641766.4 u
[INFO DPL-0022] HPWL after           633468.7 u
[INFO DPL-0023] HPWL delta               -1.3 %
[INFO] Setting RC values…
Setting global connections for newly added cells…
[INFO] Setting global connections...
Updating metrics…
Cell type report:                       Count       Area
  Fill cell                               478    1794.22
  Tap cell                               6025    7538.48
  Timing Repair Buffer                    322    4629.44
  Inverter                                 78     376.61
  Sequential cell                        2994   76102.99
  Multi-Input combinational cell        12580  120077.66
  Total                                 22477  210519.40
Writing OpenROAD database to '/home/rain/CTS-Task-Aware-Clustering/CTS-Bench/runs/aes_nsga2_p1_cd70_cs14_mw258_bd146_20260327_000717/10-openroad-repairdesign/aes.odb'…
Writing netlist to '/home/rain/CTS-Task-Aware-Clustering/CTS-Bench/runs/aes_nsga2_p1_cd70_cs14_mw258_bd146_20260327_000717/10-openroad-repairdesign/aes.nl.v'…
Writing powered netlist to '/home/rain/CTS-Task-Aware-Clustering/CTS-Bench/runs/aes_nsga2_p1_cd70_cs14_mw258_bd146_20260327_000717/10-openroad-repairdesign/aes.pnl.v'…
Writing layout to '/home/rain/CTS-Task-Aware-Clustering/CTS-Bench/runs/aes_nsga2_p1_cd70_cs14_mw258_bd146_20260327_000717/10-openroad-repairdesign/aes.def'…
Writing timing constraints to '/home/rain/CTS-Task-Aware-Clustering/CTS-Bench/runs/aes_nsga2_p1_cd70_cs14_mw258_bd146_20260327_000717/10-openroad-repairdesign/aes.sdc'…
