run_id,placement_id,design_name,aspect_ratio,core_util,density,synth_strategy,io_mode,time_driven,routability_driven,cts_max_wire,cts_buf_dist,cts_cluster_size,cts_cluster_dia,skew_setup,skew_hold,setup_slack,hold_slack,setup_tns,hold_tns,setup_vio_count,hold_vio_count,power_total,wirelength,utilization,clock_buffers,clock_inverters,timing_repair_buffers,def_path,saif_path,timing_path_csv
0,oc_jpegencode_run_20260321_173356,oc_jpegencode,1.4,53,0.75,DELAY 0,0,1,1,243,123,19,69,1.06643,-0.96048,0.245677,-0.349174,0.0,-155.221,0,6301,0.189637,6738800,0.550586,1564,433,2495,../dataset_with_def/placement_files/oc_jpegencode_run_20260321_173356/oc_jpegencode.def,../dataset_with_def/placement_files/oc_jpegencode_run_20260321_173356/oc_jpegencode.saif,../dataset_with_def/placement_files/oc_jpegencode_run_20260321_173356/timing_paths.csv
1,oc_jpegencode_run_20260321_173356,oc_jpegencode,1.4,53,0.75,DELAY 0,0,1,1,264,104,23,35,0.855163,-0.854134,0.270833,-0.201261,0.0,-198.722,0,6804,0.214149,6791770,0.558445,3174,1448,2495,../dataset_with_def/placement_files/oc_jpegencode_run_20260321_173356/oc_jpegencode.def,../dataset_with_def/placement_files/oc_jpegencode_run_20260321_173356/oc_jpegencode.saif,../dataset_with_def/placement_files/oc_jpegencode_run_20260321_173356/timing_paths.csv
2,oc_jpegencode_run_20260321_173356,oc_jpegencode,1.4,53,0.75,DELAY 0,0,1,1,139,126,28,41,1.53466,-1.4983,0.107714,-0.663645,0.0,-492.164,0,7429,0.206289,6768430,0.556117,2624,1408,2495,../dataset_with_def/placement_files/oc_jpegencode_run_20260321_173356/oc_jpegencode.def,../dataset_with_def/placement_files/oc_jpegencode_run_20260321_173356/oc_jpegencode.saif,../dataset_with_def/placement_files/oc_jpegencode_run_20260321_173356/timing_paths.csv
3,oc_jpegencode_run_20260321_173356,oc_jpegencode,1.4,53,0.75,DELAY 0,0,1,1,223,128,30,37,1.0472,-0.964172,0.323623,-0.301963,0.0,-193.743,0,6734,0.214137,6788000,0.558323,2942,1428,2495,../dataset_with_def/placement_files/oc_jpegencode_run_20260321_173356/oc_jpegencode.def,../dataset_with_def/placement_files/oc_jpegencode_run_20260321_173356/oc_jpegencode.saif,../dataset_with_def/placement_files/oc_jpegencode_run_20260321_173356/timing_paths.csv
4,oc_jpegencode_run_20260321_173356,oc_jpegencode,1.4,53,0.75,DELAY 0,0,1,1,271,140,30,58,0.89027,-1.06937,0.213827,-0.191344,0.0,-117.576,0,5575,0.193152,6736670,0.55171,1399,786,2495,../dataset_with_def/placement_files/oc_jpegencode_run_20260321_173356/oc_jpegencode.def,../dataset_with_def/placement_files/oc_jpegencode_run_20260321_173356/oc_jpegencode.saif,../dataset_with_def/placement_files/oc_jpegencode_run_20260321_173356/timing_paths.csv
5,oc_jpegencode_run_20260321_173356,oc_jpegencode,1.4,53,0.75,DELAY 0,0,1,1,177,127,19,64,1.14053,-1.24646,0.488145,-0.464697,0.0,-260.52,0,6731,0.189316,6737780,0.550667,1742,479,2495,../dataset_with_def/placement_files/oc_jpegencode_run_20260321_173356/oc_jpegencode.def,../dataset_with_def/placement_files/oc_jpegencode_run_20260321_173356/oc_jpegencode.saif,../dataset_with_def/placement_files/oc_jpegencode_run_20260321_173356/timing_paths.csv
6,oc_jpegencode_run_20260321_173356,oc_jpegencode,1.4,53,0.75,DELAY 0,0,1,1,187,112,13,50,1.28064,-1.26354,0.273126,-0.527998,0.0,-272.65,0,7113,0.194828,6761140,0.552387,2301,539,2495,../dataset_with_def/placement_files/oc_jpegencode_run_20260321_173356/oc_jpegencode.def,../dataset_with_def/placement_files/oc_jpegencode_run_20260321_173356/oc_jpegencode.saif,../dataset_with_def/placement_files/oc_jpegencode_run_20260321_173356/timing_paths.csv
7,oc_jpegencode_run_20260321_173356,oc_jpegencode,1.4,53,0.75,DELAY 0,0,1,1,184,83,13,58,1.22109,-1.1239,0.118605,-0.476244,0.0,-272.721,0,7038,0.192736,6751890,0.551787,2190,429,2495,../dataset_with_def/placement_files/oc_jpegencode_run_20260321_173356/oc_jpegencode.def,../dataset_with_def/placement_files/oc_jpegencode_run_20260321_173356/oc_jpegencode.saif,../dataset_with_def/placement_files/oc_jpegencode_run_20260321_173356/timing_paths.csv
8,oc_jpegencode_run_20260321_173356,oc_jpegencode,1.4,53,0.75,DELAY 0,0,1,1,145,147,18,70,1.57359,-1.75544,0.498521,-0.709131,0.0,-555.283,0,7517,0.188742,6745660,0.55045,1851,429,2495,../dataset_with_def/placement_files/oc_jpegencode_run_20260321_173356/oc_jpegencode.def,../dataset_with_def/placement_files/oc_jpegencode_run_20260321_173356/oc_jpegencode.saif,../dataset_with_def/placement_files/oc_jpegencode_run_20260321_173356/timing_paths.csv
9,oc_jpegencode_run_20260321_173356,oc_jpegencode,1.4,53,0.75,DELAY 0,0,1,1,235,143,22,43,0.996188,-1.07218,0.273943,-0.202705,0.0,-165.893,0,6445,0.203409,6756420,0.555003,2050,1300,2495,../dataset_with_def/placement_files/oc_jpegencode_run_20260321_173356/oc_jpegencode.def,../dataset_with_def/placement_files/oc_jpegencode_run_20260321_173356/oc_jpegencode.saif,../dataset_with_def/placement_files/oc_jpegencode_run_20260321_173356/timing_paths.csv
