run_id,placement_id,design_name,aspect_ratio,core_util,density,synth_strategy,io_mode,time_driven,routability_driven,cts_max_wire,cts_buf_dist,cts_cluster_size,cts_cluster_dia,skew_setup,skew_hold,setup_slack,hold_slack,setup_tns,hold_tns,setup_vio_count,hold_vio_count,power_total,wirelength,utilization,clock_buffers,clock_inverters,timing_repair_buffers,def_path,saif_path,timing_path_csv
0,zipdiv_run_20260312_160558,zipdiv,0.7,40,0.63,DELAY 2,1,1,0,204,95,26,46,0.513813,-0.512537,1.19601,-0.0371433,0,-0.0516776,0,2,0.00314277,32682.3,0.39638,30,1,107,../dataset_with_def/placement_files/zipdiv_run_20260312_160558/zipdiv.def,../dataset_with_def/placement_files/zipdiv_run_20260312_160558/zipdiv.saif,../dataset_with_def/placement_files/zipdiv_run_20260312_160558/timing_paths.csv
1,zipdiv_run_20260312_160558,zipdiv,0.7,40,0.63,DELAY 2,1,1,0,255,72,30,46,0.513813,-0.512537,1.19601,-0.0371433,0,-0.0516776,0,2,0.00314277,32682.3,0.39638,30,1,107,../dataset_with_def/placement_files/zipdiv_run_20260312_160558/zipdiv.def,../dataset_with_def/placement_files/zipdiv_run_20260312_160558/zipdiv.saif,../dataset_with_def/placement_files/zipdiv_run_20260312_160558/timing_paths.csv
2,zipdiv_run_20260312_160558,zipdiv,0.7,40,0.63,DELAY 2,1,1,0,192,117,20,52,0.509505,-0.509444,1.20029,-0.0349545,0,-0.0457783,0,2,0.00286911,32451.4,0.390606,21,9,107,../dataset_with_def/placement_files/zipdiv_run_20260312_160558/zipdiv.def,../dataset_with_def/placement_files/zipdiv_run_20260312_160558/zipdiv.saif,../dataset_with_def/placement_files/zipdiv_run_20260312_160558/timing_paths.csv
3,zipdiv_run_20260312_160558,zipdiv,0.7,40,0.63,DELAY 2,1,1,0,227,91,19,53,0.513813,-0.512537,1.19601,-0.0371433,0,-0.0516776,0,2,0.00314277,32682.3,0.39638,30,1,107,../dataset_with_def/placement_files/zipdiv_run_20260312_160558/zipdiv.def,../dataset_with_def/placement_files/zipdiv_run_20260312_160558/zipdiv.saif,../dataset_with_def/placement_files/zipdiv_run_20260312_160558/timing_paths.csv
4,zipdiv_run_20260312_160558,zipdiv,0.7,40,0.63,DELAY 2,1,1,0,228,128,17,55,0.505922,-0.50586,1.1997,-0.0369726,0,-0.0512185,0,2,0.00318015,32525.5,0.396857,21,9,107,../dataset_with_def/placement_files/zipdiv_run_20260312_160558/zipdiv.def,../dataset_with_def/placement_files/zipdiv_run_20260312_160558/zipdiv.saif,../dataset_with_def/placement_files/zipdiv_run_20260312_160558/timing_paths.csv
5,zipdiv_run_20260312_160558,zipdiv,0.7,40,0.63,DELAY 2,1,1,0,189,133,26,56,0.505922,-0.50586,1.1997,-0.0369726,0,-0.0512185,0,2,0.00318015,32525.5,0.396857,21,9,107,../dataset_with_def/placement_files/zipdiv_run_20260312_160558/zipdiv.def,../dataset_with_def/placement_files/zipdiv_run_20260312_160558/zipdiv.saif,../dataset_with_def/placement_files/zipdiv_run_20260312_160558/timing_paths.csv
6,zipdiv_run_20260312_160558,zipdiv,0.7,40,0.63,DELAY 2,1,1,0,187,126,19,65,0.505922,-0.50586,1.1997,-0.0369726,0,-0.0512185,0,2,0.00318015,32525.5,0.396857,21,9,107,../dataset_with_def/placement_files/zipdiv_run_20260312_160558/zipdiv.def,../dataset_with_def/placement_files/zipdiv_run_20260312_160558/zipdiv.saif,../dataset_with_def/placement_files/zipdiv_run_20260312_160558/timing_paths.csv
7,zipdiv_run_20260312_160558,zipdiv,0.7,40,0.63,DELAY 2,1,1,0,149,78,23,44,0.513813,-0.512537,1.12766,-0.0371433,0,-0.0516777,0,2,0.00315747,32681.3,0.396553,31,1,107,../dataset_with_def/placement_files/zipdiv_run_20260312_160558/zipdiv.def,../dataset_with_def/placement_files/zipdiv_run_20260312_160558/zipdiv.saif,../dataset_with_def/placement_files/zipdiv_run_20260312_160558/timing_paths.csv
8,zipdiv_run_20260312_160558,zipdiv,0.7,40,0.63,DELAY 2,1,1,0,278,115,25,59,0.509505,-0.509444,1.20029,-0.0349545,0,-0.0457783,0,2,0.00286911,32451.4,0.390606,21,9,107,../dataset_with_def/placement_files/zipdiv_run_20260312_160558/zipdiv.def,../dataset_with_def/placement_files/zipdiv_run_20260312_160558/zipdiv.saif,../dataset_with_def/placement_files/zipdiv_run_20260312_160558/timing_paths.csv
9,zipdiv_run_20260312_160558,zipdiv,0.7,40,0.63,DELAY 2,1,1,0,157,149,27,54,0.505923,-0.505862,1.15565,-0.0369724,0,-0.0512178,0,2,0.00319482,32524.4,0.397031,22,9,107,../dataset_with_def/placement_files/zipdiv_run_20260312_160558/zipdiv.def,../dataset_with_def/placement_files/zipdiv_run_20260312_160558/zipdiv.saif,../dataset_with_def/placement_files/zipdiv_run_20260312_160558/timing_paths.csv
10,zipdiv_run_20260312_160735,zipdiv,0.7,46,0.66,DELAY 4,0,1,1,155,103,27,62,0.517162,-0.51655,-0.327952,-0.0349691,-0.489219,-0.0631436,2,3,0.00303012,28871.9,0.456125,31,3,105,../dataset_with_def/placement_files/zipdiv_run_20260312_160735/zipdiv.def,../dataset_with_def/placement_files/zipdiv_run_20260312_160735/zipdiv.saif,../dataset_with_def/placement_files/zipdiv_run_20260312_160735/timing_paths.csv
11,zipdiv_run_20260312_160735,zipdiv,0.7,46,0.66,DELAY 4,0,1,1,274,142,23,64,0.504193,-0.504175,-0.330183,-0.0326624,-0.49279,-0.0570584,2,3,0.00298003,28754.8,0.454706,18,14,105,../dataset_with_def/placement_files/zipdiv_run_20260312_160735/zipdiv.def,../dataset_with_def/placement_files/zipdiv_run_20260312_160735/zipdiv.saif,../dataset_with_def/placement_files/zipdiv_run_20260312_160735/timing_paths.csv
12,zipdiv_run_20260312_160735,zipdiv,0.7,46,0.66,DELAY 4,0,1,1,155,107,22,64,0.517162,-0.51655,-0.327952,-0.0349691,-0.489219,-0.0631436,2,3,0.00303012,28871.9,0.456125,31,3,105,../dataset_with_def/placement_files/zipdiv_run_20260312_160735/zipdiv.def,../dataset_with_def/placement_files/zipdiv_run_20260312_160735/zipdiv.saif,../dataset_with_def/placement_files/zipdiv_run_20260312_160735/timing_paths.csv
13,zipdiv_run_20260312_160735,zipdiv,0.7,46,0.66,DELAY 4,0,1,1,206,101,20,55,0.517162,-0.51655,-0.327951,-0.0349691,-0.489218,-0.0631434,2,3,0.00301568,28872.9,0.455929,30,3,105,../dataset_with_def/placement_files/zipdiv_run_20260312_160735/zipdiv.def,../dataset_with_def/placement_files/zipdiv_run_20260312_160735/zipdiv.saif,../dataset_with_def/placement_files/zipdiv_run_20260312_160735/timing_paths.csv
14,zipdiv_run_20260312_160735,zipdiv,0.7,46,0.66,DELAY 4,0,1,1,208,99,30,35,0.517162,-0.51655,-0.327951,-0.0349691,-0.489218,-0.0631434,2,3,0.00301568,28872.9,0.455929,30,3,105,../dataset_with_def/placement_files/zipdiv_run_20260312_160735/zipdiv.def,../dataset_with_def/placement_files/zipdiv_run_20260312_160735/zipdiv.saif,../dataset_with_def/placement_files/zipdiv_run_20260312_160735/timing_paths.csv
15,zipdiv_run_20260312_160735,zipdiv,0.7,46,0.66,DELAY 4,0,1,1,241,125,23,35,0.504193,-0.504175,-0.330183,-0.0326624,-0.49279,-0.0570584,2,3,0.00298003,28754.8,0.454706,18,14,105,../dataset_with_def/placement_files/zipdiv_run_20260312_160735/zipdiv.def,../dataset_with_def/placement_files/zipdiv_run_20260312_160735/zipdiv.saif,../dataset_with_def/placement_files/zipdiv_run_20260312_160735/timing_paths.csv
16,zipdiv_run_20260312_160735,zipdiv,0.7,46,0.66,DELAY 4,0,1,1,171,76,16,68,0.512646,-0.511218,-0.320432,-0.0329136,-0.473383,-0.0576886,2,3,0.00299247,28856.1,0.454901,23,11,105,../dataset_with_def/placement_files/zipdiv_run_20260312_160735/zipdiv.def,../dataset_with_def/placement_files/zipdiv_run_20260312_160735/zipdiv.saif,../dataset_with_def/placement_files/zipdiv_run_20260312_160735/timing_paths.csv
17,zipdiv_run_20260312_160735,zipdiv,0.7,46,0.66,DELAY 4,0,1,1,212,123,25,59,0.504193,-0.504175,-0.330183,-0.0326624,-0.49279,-0.0570584,2,3,0.00298003,28754.8,0.454706,18,14,105,../dataset_with_def/placement_files/zipdiv_run_20260312_160735/zipdiv.def,../dataset_with_def/placement_files/zipdiv_run_20260312_160735/zipdiv.saif,../dataset_with_def/placement_files/zipdiv_run_20260312_160735/timing_paths.csv
18,zipdiv_run_20260312_160735,zipdiv,0.7,46,0.66,DELAY 4,0,1,1,136,149,16,61,0.504193,-0.504175,-0.330183,-0.0326619,-0.492791,-0.0570571,2,3,0.00299445,28753.8,0.454901,19,14,105,../dataset_with_def/placement_files/zipdiv_run_20260312_160735/zipdiv.def,../dataset_with_def/placement_files/zipdiv_run_20260312_160735/zipdiv.saif,../dataset_with_def/placement_files/zipdiv_run_20260312_160735/timing_paths.csv
19,zipdiv_run_20260312_160735,zipdiv,0.7,46,0.66,DELAY 4,0,1,1,156,128,19,49,0.504193,-0.504175,-0.330183,-0.0326619,-0.492791,-0.0570571,2,3,0.00299445,28753.8,0.454901,19,14,105,../dataset_with_def/placement_files/zipdiv_run_20260312_160735/zipdiv.def,../dataset_with_def/placement_files/zipdiv_run_20260312_160735/zipdiv.saif,../dataset_with_def/placement_files/zipdiv_run_20260312_160735/timing_paths.csv
