run_id,placement_id,design_name,aspect_ratio,core_util,density,synth_strategy,io_mode,time_driven,routability_driven,cts_max_wire,cts_buf_dist,cts_cluster_size,cts_cluster_dia,skew_setup,skew_hold,setup_slack,hold_slack,setup_tns,hold_tns,setup_vio_count,hold_vio_count,power_total,wirelength,utilization,clock_buffers,clock_inverters,timing_repair_buffers,def_path,saif_path,timing_path_csv
0,aes_run_20260713_161910,aes,2.0,43,0.62,DELAY 0,1,0,0,237,138,16,53,0.572098,-0.573379,-1.78745,-0.104476,-178.81,-2.72786,447,371,0.0695049,1325530,0.468517,337,35,709,../dataset_with_def/placement_files/aes_run_20260713_161910/aes.def,../dataset_with_def/placement_files/aes_run_20260713_161910/aes.saif,
1,aes_run_20260713_161910,aes,2.0,43,0.62,DELAY 0,1,0,0,250,116,22,42,0.580124,-0.719196,-1.79548,-0.0985092,-179.731,-1.44837,445,244,0.07027,1325060,0.469513,271,125,709,../dataset_with_def/placement_files/aes_run_20260713_161910/aes.def,../dataset_with_def/placement_files/aes_run_20260713_161910/aes.saif,
2,aes_run_20260713_161910,aes,2.0,43,0.62,DELAY 0,1,0,0,189,113,29,61,0.916209,-0.916209,-1.81742,-0.186484,-183.554,-0.782285,496,78,0.0686846,1322940,0.467222,214,55,709,../dataset_with_def/placement_files/aes_run_20260713_161910/aes.def,../dataset_with_def/placement_files/aes_run_20260713_161910/aes.saif,
3,aes_run_20260713_161910,aes,2.0,43,0.62,DELAY 0,1,0,0,141,70,30,45,1.15366,-1.15373,-1.90585,-0.246888,-203.422,-3.94558,541,137,0.0701166,1325730,0.469298,257,133,709,../dataset_with_def/placement_files/aes_run_20260713_161910/aes.def,../dataset_with_def/placement_files/aes_run_20260713_161910/aes.saif,
4,aes_run_20260713_161910,aes,2.0,43,0.62,DELAY 0,1,0,0,167,70,30,55,0.938129,-0.927333,-1.92939,-0.197068,-216.776,-2.03945,683,89,0.0694452,1323730,0.468301,234,85,709,../dataset_with_def/placement_files/aes_run_20260713_161910/aes.def,../dataset_with_def/placement_files/aes_run_20260713_161910/aes.saif,
5,aes_run_20260713_161910,aes,2.0,43,0.62,DELAY 0,1,0,0,270,79,14,52,0.955231,-0.955184,-1.79736,-0.210566,-176.269,-4.94035,449,414,0.0702144,1327520,0.469459,388,27,709,../dataset_with_def/placement_files/aes_run_20260713_161910/aes.def,../dataset_with_def/placement_files/aes_run_20260713_161910/aes.saif,
6,aes_run_20260713_161910,aes,2.0,43,0.62,DELAY 0,1,0,0,163,142,14,61,0.936258,-0.936205,-1.87201,-0.194524,-179.224,-5.95218,524,430,0.0698967,1328080,0.469071,410,15,709,../dataset_with_def/placement_files/aes_run_20260713_161910/aes.def,../dataset_with_def/placement_files/aes_run_20260713_161910/aes.saif,
7,aes_run_20260713_161910,aes,2.0,43,0.62,DELAY 0,1,0,0,270,99,29,38,0.74344,-0.736517,-1.81075,-0.1043,-175.627,-2.15167,387,301,0.0723309,1328490,0.47233,324,196,709,../dataset_with_def/placement_files/aes_run_20260713_161910/aes.def,../dataset_with_def/placement_files/aes_run_20260713_161910/aes.saif,
8,aes_run_20260713_161910,aes,2.0,43,0.62,DELAY 0,1,0,0,207,119,30,35,0.724522,-0.726484,-1.80687,-0.126319,-177.374,-2.82872,403,358,0.074042,1331760,0.474546,370,229,709,../dataset_with_def/placement_files/aes_run_20260713_161910/aes.def,../dataset_with_def/placement_files/aes_run_20260713_161910/aes.saif,
9,aes_run_20260713_161910,aes,2.0,43,0.62,DELAY 0,1,0,0,224,94,23,57,0.715522,-0.710092,-1.79174,-0.097812,-177.123,-0.916498,427,140,0.0693471,1324410,0.468073,263,50,709,../dataset_with_def/placement_files/aes_run_20260713_161910/aes.def,../dataset_with_def/placement_files/aes_run_20260713_161910/aes.saif,
