run_id,placement_id,design_name,aspect_ratio,core_util,density,synth_strategy,io_mode,time_driven,routability_driven,cts_max_wire,cts_buf_dist,cts_cluster_size,cts_cluster_dia,skew_setup,skew_hold,setup_slack,hold_slack,setup_tns,hold_tns,setup_vio_count,hold_vio_count,power_total,wirelength,utilization,clock_buffers,clock_inverters,timing_repair_buffers,def_path,saif_path,timing_path_csv
0,ethmac_run_20260308_061525,ethmac,2.0,68,0.86,DELAY 3,1,1,1,263,121,21,53,0.708538,-0.566768,0.518693,-0.169719,0,-173.806,0,7151,0.069056,1416640,0.717075,697,59,870,../dataset_with_def/placement_files/ethmac_run_20260308_061525/ethmac.def,../dataset_with_def/placement_files/ethmac_run_20260308_061525/ethmac.saif,../dataset_with_def/placement_files/ethmac_run_20260308_061525/timing_paths.csv
1,ethmac_run_20260308_061525,ethmac,2.0,68,0.86,DELAY 3,1,1,1,154,124,24,39,0.840225,-0.787203,0.533952,-0.271552,0,-154.646,0,6610,0.0730882,1469110,0.724041,766,375,870,../dataset_with_def/placement_files/ethmac_run_20260308_061525/ethmac.def,../dataset_with_def/placement_files/ethmac_run_20260308_061525/ethmac.saif,../dataset_with_def/placement_files/ethmac_run_20260308_061525/timing_paths.csv
2,ethmac_run_20260308_061525,ethmac,2.0,68,0.86,DELAY 3,1,1,1,226,94,12,37,0.709602,-0.710445,0.531979,-0.185123,0,-211.682,0,6951,0.0736071,1518690,0.725024,1115,73,870,../dataset_with_def/placement_files/ethmac_run_20260308_061525/ethmac.def,../dataset_with_def/placement_files/ethmac_run_20260308_061525/ethmac.saif,../dataset_with_def/placement_files/ethmac_run_20260308_061525/timing_paths.csv
3,ethmac_run_20260308_061525,ethmac,2.0,68,0.86,DELAY 3,1,1,1,236,101,24,61,0.991301,-0.917605,0.540892,-0.270445,0,-161.688,0,7192,0.066743,1379790,0.713525,577,52,870,../dataset_with_def/placement_files/ethmac_run_20260308_061525/ethmac.def,../dataset_with_def/placement_files/ethmac_run_20260308_061525/ethmac.saif,../dataset_with_def/placement_files/ethmac_run_20260308_061525/timing_paths.csv
4,ethmac_run_20260308_061525,ethmac,2.0,68,0.86,DELAY 3,1,1,1,200,77,24,65,0.907187,-0.93741,0.559346,-0.224808,0,-162.496,0,7192,0.0665657,1381120,0.713243,591,37,870,../dataset_with_def/placement_files/ethmac_run_20260308_061525/ethmac.def,../dataset_with_def/placement_files/ethmac_run_20260308_061525/ethmac.saif,../dataset_with_def/placement_files/ethmac_run_20260308_061525/timing_paths.csv
5,ethmac_run_20260308_061525,ethmac,2.0,68,0.86,DELAY 3,1,1,1,212,136,15,61,0.685535,-0.707954,0.535525,-0.180542,0,-205.358,0,7227,0.0706,1462660,0.719922,889,30,870,../dataset_with_def/placement_files/ethmac_run_20260308_061525/ethmac.def,../dataset_with_def/placement_files/ethmac_run_20260308_061525/ethmac.saif,../dataset_with_def/placement_files/ethmac_run_20260308_061525/timing_paths.csv
6,ethmac_run_20260308_061525,ethmac,2.0,68,0.86,DELAY 3,1,1,1,217,91,12,67,0.697466,-0.735261,0.530132,-0.17398,0,-216.142,0,7144,0.0720004,1497930,0.722567,1079,31,870,../dataset_with_def/placement_files/ethmac_run_20260308_061525/ethmac.def,../dataset_with_def/placement_files/ethmac_run_20260308_061525/ethmac.saif,../dataset_with_def/placement_files/ethmac_run_20260308_061525/timing_paths.csv
7,ethmac_run_20260308_061525,ethmac,2.0,68,0.86,DELAY 3,1,1,1,229,75,26,70,0.829555,-0.910683,0.562916,-0.259522,0,-150.109,0,7106,0.0660339,1367390,0.712274,538,29,870,../dataset_with_def/placement_files/ethmac_run_20260308_061525/ethmac.def,../dataset_with_def/placement_files/ethmac_run_20260308_061525/ethmac.saif,../dataset_with_def/placement_files/ethmac_run_20260308_061525/timing_paths.csv
8,ethmac_run_20260308_061525,ethmac,2.0,68,0.86,DELAY 3,1,1,1,246,145,26,49,0.719074,-0.685356,0.5172,-0.185904,0,-147.001,0,6905,0.0692453,1407440,0.717405,621,151,870,../dataset_with_def/placement_files/ethmac_run_20260308_061525/ethmac.def,../dataset_with_def/placement_files/ethmac_run_20260308_061525/ethmac.saif,../dataset_with_def/placement_files/ethmac_run_20260308_061525/timing_paths.csv
9,ethmac_run_20260308_061525,ethmac,2.0,68,0.86,DELAY 3,1,1,1,226,143,23,65,0.703161,-0.560628,0.502603,-0.185138,0,-164.082,0,7149,0.0679453,1400340,0.715229,632,34,870,../dataset_with_def/placement_files/ethmac_run_20260308_061525/ethmac.def,../dataset_with_def/placement_files/ethmac_run_20260308_061525/ethmac.saif,../dataset_with_def/placement_files/ethmac_run_20260308_061525/timing_paths.csv
