run_id,placement_id,design_name,aspect_ratio,core_util,density,synth_strategy,io_mode,time_driven,routability_driven,cts_max_wire,cts_buf_dist,cts_cluster_size,cts_cluster_dia,skew_setup,skew_hold,setup_slack,hold_slack,setup_tns,hold_tns,setup_vio_count,hold_vio_count,power_total,wirelength,utilization,clock_buffers,clock_inverters,timing_repair_buffers,def_path,saif_path,timing_path_csv
0,picorv32_run_20260306_110145,picorv32,1.4,66,0.8,AREA 0,0,1,1,246,149,30,69,0.536764,-0.537016,-2.65909,-0.057747,-110.233,-11.3679,235,1006,0.0325043,224518,0.688964,97,38,270,../dataset_with_def/placement_files/picorv32_run_20260306_110145/picorv32.def,../dataset_with_def/placement_files/picorv32_run_20260306_110145/picorv32.saif,../dataset_with_def/placement_files/picorv32_run_20260306_110145/timing_paths.csv
1,picorv32_run_20260306_110145,picorv32,1.4,66,0.8,AREA 0,0,1,1,131,113,24,63,1.20346,-1.20331,-2.66348,-0.401891,-113.146,-33.1777,232,1149,0.0330566,226152,0.692095,126,61,270,../dataset_with_def/placement_files/picorv32_run_20260306_110145/picorv32.def,../dataset_with_def/placement_files/picorv32_run_20260306_110145/picorv32.saif,../dataset_with_def/placement_files/picorv32_run_20260306_110145/timing_paths.csv
2,picorv32_run_20260306_110145,picorv32,1.4,66,0.8,AREA 0,0,1,1,179,91,15,57,0.679661,-0.678189,-2.65152,-0.0652248,-124.209,-24.7226,255,1139,0.0338577,228312,0.695711,184,28,270,../dataset_with_def/placement_files/picorv32_run_20260306_110145/picorv32.def,../dataset_with_def/placement_files/picorv32_run_20260306_110145/picorv32.saif,../dataset_with_def/placement_files/picorv32_run_20260306_110145/timing_paths.csv
3,picorv32_run_20260306_110145,picorv32,1.4,66,0.8,AREA 0,0,1,1,134,76,25,52,0.973943,-0.985085,-2.79182,-0.1629,-137.374,-19.7034,287,1113,0.0341709,227265,0.697375,145,89,270,../dataset_with_def/placement_files/picorv32_run_20260306_110145/picorv32.def,../dataset_with_def/placement_files/picorv32_run_20260306_110145/picorv32.saif,../dataset_with_def/placement_files/picorv32_run_20260306_110145/timing_paths.csv
4,picorv32_run_20260306_110145,picorv32,1.4,66,0.8,AREA 0,0,1,1,272,87,26,60,0.72813,-0.728669,-2.68253,-0.0621652,-118.535,-15.1974,250,1053,0.0334835,226467,0.694123,118,80,270,../dataset_with_def/placement_files/picorv32_run_20260306_110145/picorv32.def,../dataset_with_def/placement_files/picorv32_run_20260306_110145/picorv32.saif,../dataset_with_def/placement_files/picorv32_run_20260306_110145/timing_paths.csv
5,picorv32_run_20260306_110145,picorv32,1.4,66,0.8,AREA 0,0,1,1,221,132,28,70,0.558385,-0.558337,-2.65994,-0.0587442,-111.384,-12.4458,238,1037,0.032123,224382,0.687469,103,31,270,../dataset_with_def/placement_files/picorv32_run_20260306_110145/picorv32.def,../dataset_with_def/placement_files/picorv32_run_20260306_110145/picorv32.saif,../dataset_with_def/placement_files/picorv32_run_20260306_110145/timing_paths.csv
6,picorv32_run_20260306_110145,picorv32,1.4,66,0.8,AREA 0,0,1,1,268,133,26,36,0.541576,-0.541688,-2.64719,-0.0671005,-107.851,-24.4657,227,1140,0.0367702,231051,0.709823,215,144,270,../dataset_with_def/placement_files/picorv32_run_20260306_110145/picorv32.def,../dataset_with_def/placement_files/picorv32_run_20260306_110145/picorv32.saif,../dataset_with_def/placement_files/picorv32_run_20260306_110145/timing_paths.csv
7,picorv32_run_20260306_110145,picorv32,1.4,66,0.8,AREA 0,0,1,1,239,71,26,55,0.725079,-0.725012,-2.70651,-0.0620326,-117.343,-17.1968,240,1078,0.0336795,226761,0.695263,130,84,270,../dataset_with_def/placement_files/picorv32_run_20260306_110145/picorv32.def,../dataset_with_def/placement_files/picorv32_run_20260306_110145/picorv32.saif,../dataset_with_def/placement_files/picorv32_run_20260306_110145/timing_paths.csv
8,picorv32_run_20260306_110145,picorv32,1.4,66,0.8,AREA 0,0,1,1,243,149,12,70,0.527502,-0.528375,-2.64297,-0.067245,-107.259,-27.8507,215,1146,0.033298,227626,0.693712,201,11,270,../dataset_with_def/placement_files/picorv32_run_20260306_110145/picorv32.def,../dataset_with_def/placement_files/picorv32_run_20260306_110145/picorv32.saif,../dataset_with_def/placement_files/picorv32_run_20260306_110145/timing_paths.csv
9,picorv32_run_20260306_110145,picorv32,1.4,66,0.8,AREA 0,0,1,1,175,144,21,41,0.541444,-0.543044,-2.63987,-0.0649998,-112.64,-22.1098,242,1122,0.0352572,229012,0.702655,181,110,270,../dataset_with_def/placement_files/picorv32_run_20260306_110145/picorv32.def,../dataset_with_def/placement_files/picorv32_run_20260306_110145/picorv32.saif,../dataset_with_def/placement_files/picorv32_run_20260306_110145/timing_paths.csv
10,picorv32_run_20260306_110421,picorv32,1.0,62,0.74,DELAY 3,0,0,1,279,139,13,53,0.532267,-0.532327,-1.29274,-0.0677781,-38.22,-24.8048,86,1097,0.0357781,242511,0.662025,211,47,278,../dataset_with_def/placement_files/picorv32_run_20260306_110421/picorv32.def,../dataset_with_def/placement_files/picorv32_run_20260306_110421/picorv32.saif,../dataset_with_def/placement_files/picorv32_run_20260306_110421/timing_paths.csv
11,picorv32_run_20260306_110421,picorv32,1.0,62,0.74,DELAY 3,0,0,1,179,127,24,54,0.547298,-0.546361,-1.32216,-0.0650199,-46.017,-18.6506,94,1088,0.0354688,241355,0.660994,165,89,278,../dataset_with_def/placement_files/picorv32_run_20260306_110421/picorv32.def,../dataset_with_def/placement_files/picorv32_run_20260306_110421/picorv32.saif,../dataset_with_def/placement_files/picorv32_run_20260306_110421/timing_paths.csv
12,picorv32_run_20260306_110421,picorv32,1.0,62,0.74,DELAY 3,0,0,1,148,87,16,66,0.529021,-0.528196,-1.2755,-0.065968,-47.4085,-22.0785,94,1096,0.0345207,241082,0.656773,168,42,278,../dataset_with_def/placement_files/picorv32_run_20260306_110421/picorv32.def,../dataset_with_def/placement_files/picorv32_run_20260306_110421/picorv32.saif,../dataset_with_def/placement_files/picorv32_run_20260306_110421/timing_paths.csv
13,picorv32_run_20260306_110421,picorv32,1.0,62,0.74,DELAY 3,0,0,1,163,127,29,39,0.704992,-0.70061,-1.32378,-0.0686589,-46.8708,-24.5785,94,1098,0.0383223,244360,0.673921,253,154,278,../dataset_with_def/placement_files/picorv32_run_20260306_110421/picorv32.def,../dataset_with_def/placement_files/picorv32_run_20260306_110421/picorv32.saif,../dataset_with_def/placement_files/picorv32_run_20260306_110421/timing_paths.csv
14,picorv32_run_20260306_110421,picorv32,1.0,62,0.74,DELAY 3,0,0,1,162,91,19,60,0.547492,-0.542093,-1.29995,-0.064077,-49.2541,-19.5871,94,1088,0.0349003,241183,0.658355,155,69,278,../dataset_with_def/placement_files/picorv32_run_20260306_110421/picorv32.def,../dataset_with_def/placement_files/picorv32_run_20260306_110421/picorv32.saif,../dataset_with_def/placement_files/picorv32_run_20260306_110421/timing_paths.csv
15,picorv32_run_20260306_110421,picorv32,1.0,62,0.74,DELAY 3,0,0,1,273,113,24,67,0.552157,-0.552162,-1.31441,-0.0625795,-41.3106,-15.744,92,1076,0.0347921,240531,0.657916,128,86,278,../dataset_with_def/placement_files/picorv32_run_20260306_110421/picorv32.def,../dataset_with_def/placement_files/picorv32_run_20260306_110421/picorv32.saif,../dataset_with_def/placement_files/picorv32_run_20260306_110421/timing_paths.csv
16,picorv32_run_20260306_110421,picorv32,1.0,62,0.74,DELAY 3,0,0,1,168,104,19,70,0.740743,-0.737972,-1.17402,-0.119969,-39.7198,-19.368,89,1095,0.0342432,240297,0.655398,143,46,278,../dataset_with_def/placement_files/picorv32_run_20260306_110421/picorv32.def,../dataset_with_def/placement_files/picorv32_run_20260306_110421/picorv32.saif,../dataset_with_def/placement_files/picorv32_run_20260306_110421/timing_paths.csv
17,picorv32_run_20260306_110421,picorv32,1.0,62,0.74,DELAY 3,0,0,1,139,109,29,54,0.545009,-0.54709,-1.29882,-0.0652522,-47.787,-18.4236,94,1086,0.0360052,242481,0.663039,174,87,278,../dataset_with_def/placement_files/picorv32_run_20260306_110421/picorv32.def,../dataset_with_def/placement_files/picorv32_run_20260306_110421/picorv32.saif,../dataset_with_def/placement_files/picorv32_run_20260306_110421/timing_paths.csv
18,picorv32_run_20260306_110421,picorv32,1.0,62,0.74,DELAY 3,0,0,1,260,87,30,62,0.539224,-0.540135,-1.31196,-0.0633809,-45.6092,-14.5503,96,1065,0.0354311,240860,0.660633,132,100,278,../dataset_with_def/placement_files/picorv32_run_20260306_110421/picorv32.def,../dataset_with_def/placement_files/picorv32_run_20260306_110421/picorv32.saif,../dataset_with_def/placement_files/picorv32_run_20260306_110421/timing_paths.csv
19,picorv32_run_20260306_110421,picorv32,1.0,62,0.74,DELAY 3,0,0,1,177,96,19,57,0.539085,-0.53738,-1.31675,-0.0644177,-48.0496,-19.6059,96,1088,0.0353262,241592,0.660117,174,59,278,../dataset_with_def/placement_files/picorv32_run_20260306_110421/picorv32.def,../dataset_with_def/placement_files/picorv32_run_20260306_110421/picorv32.saif,../dataset_with_def/placement_files/picorv32_run_20260306_110421/timing_paths.csv
20,picorv32_run_20260306_110709,picorv32,1.0,40,0.47,DELAY 1,1,0,1,249,81,17,42,0.680165,-0.696468,-1.21776,-0.0898525,-40.5544,-31.0165,62,1095,0.0404105,320235,0.450242,390,184,314,../dataset_with_def/placement_files/picorv32_run_20260306_110709/picorv32.def,../dataset_with_def/placement_files/picorv32_run_20260306_110709/picorv32.saif,../dataset_with_def/placement_files/picorv32_run_20260306_110709/timing_paths.csv
21,picorv32_run_20260306_110709,picorv32,1.0,40,0.47,DELAY 1,1,0,1,254,85,29,37,0.664205,-0.670137,-1.08912,-0.0708373,-31.9602,-32.5878,63,1098,0.0438541,321273,0.459444,488,205,314,../dataset_with_def/placement_files/picorv32_run_20260306_110709/picorv32.def,../dataset_with_def/placement_files/picorv32_run_20260306_110709/picorv32.saif,../dataset_with_def/placement_files/picorv32_run_20260306_110709/timing_paths.csv
22,picorv32_run_20260306_110709,picorv32,1.0,40,0.47,DELAY 1,1,0,1,217,140,14,64,0.681648,-0.672858,-1.02711,-0.0673343,-28.8889,-26.5395,53,1097,0.0353459,316667,0.435794,214,82,314,../dataset_with_def/placement_files/picorv32_run_20260306_110709/picorv32.def,../dataset_with_def/placement_files/picorv32_run_20260306_110709/picorv32.saif,../dataset_with_def/placement_files/picorv32_run_20260306_110709/timing_paths.csv
23,picorv32_run_20260306_110709,picorv32,1.0,40,0.47,DELAY 1,1,0,1,265,74,16,57,0.704281,-0.690602,-1.01953,-0.0666294,-28.2385,-25.4571,51,1093,0.0362778,316530,0.438322,214,127,314,../dataset_with_def/placement_files/picorv32_run_20260306_110709/picorv32.def,../dataset_with_def/placement_files/picorv32_run_20260306_110709/picorv32.saif,../dataset_with_def/placement_files/picorv32_run_20260306_110709/timing_paths.csv
24,picorv32_run_20260306_110709,picorv32,1.0,40,0.47,DELAY 1,1,0,1,191,120,24,60,0.722659,-0.716415,-1.12486,-0.0659728,-34.3644,-23.0734,63,1093,0.0356514,316184,0.436786,195,124,314,../dataset_with_def/placement_files/picorv32_run_20260306_110709/picorv32.def,../dataset_with_def/placement_files/picorv32_run_20260306_110709/picorv32.saif,../dataset_with_def/placement_files/picorv32_run_20260306_110709/timing_paths.csv
25,picorv32_run_20260306_110709,picorv32,1.0,40,0.47,DELAY 1,1,0,1,151,135,21,46,0.663696,-0.666431,-1.1846,-0.0697398,-37.8536,-30.1647,61,1095,0.0399557,319679,0.448489,340,171,314,../dataset_with_def/placement_files/picorv32_run_20260306_110709/picorv32.def,../dataset_with_def/placement_files/picorv32_run_20260306_110709/picorv32.saif,../dataset_with_def/placement_files/picorv32_run_20260306_110709/timing_paths.csv
26,picorv32_run_20260306_110709,picorv32,1.0,40,0.47,DELAY 1,1,0,1,179,107,25,43,0.6592,-0.672935,-1.13063,-0.069933,-34.4383,-30.7577,63,1097,0.0407883,320083,0.450797,372,175,314,../dataset_with_def/placement_files/picorv32_run_20260306_110709/picorv32.def,../dataset_with_def/placement_files/picorv32_run_20260306_110709/picorv32.saif,../dataset_with_def/placement_files/picorv32_run_20260306_110709/timing_paths.csv
27,picorv32_run_20260306_110709,picorv32,1.0,40,0.47,DELAY 1,1,0,1,215,148,24,37,0.662362,-0.675386,-1.05367,-0.0708373,-30.2479,-32.5771,60,1098,0.0436981,320839,0.458926,470,215,314,../dataset_with_def/placement_files/picorv32_run_20260306_110709/picorv32.def,../dataset_with_def/placement_files/picorv32_run_20260306_110709/picorv32.saif,../dataset_with_def/placement_files/picorv32_run_20260306_110709/timing_paths.csv
28,picorv32_run_20260306_110709,picorv32,1.0,40,0.47,DELAY 1,1,0,1,232,75,28,62,0.718599,-0.703292,-1.15607,-0.0656266,-36.0501,-22.9863,62,1093,0.035235,315907,0.435621,194,112,314,../dataset_with_def/placement_files/picorv32_run_20260306_110709/picorv32.def,../dataset_with_def/placement_files/picorv32_run_20260306_110709/picorv32.saif,../dataset_with_def/placement_files/picorv32_run_20260306_110709/timing_paths.csv
