launch_flop,capture_flop,slack
_24922_,_27570_,-0.285453
_24922_,_27619_,-0.252048
_24922_,_27770_,-0.245886
_24922_,_27571_,-0.184721
_24922_,_27569_,-0.092895
_24922_,_27617_,-0.060652
_24922_,_27616_,-0.055238
_24922_,_27579_,-0.034444
_24922_,_27568_,-0.021324
_24922_,_27577_,0.008521
_24922_,_27580_,0.032061
_24922_,_27771_,0.053604
_24922_,_27768_,0.099062
_24922_,_27634_,0.144314
_24922_,_27578_,0.158384
_24922_,_27769_,0.168840
_24922_,_27752_,0.170907
_25413_,_26414_,0.191331
_25413_,_26286_,0.191334
_25413_,_26926_,0.191357
_25413_,_24818_,0.191414
_25413_,_25890_,0.191414
_25413_,_26030_,0.191414
_24922_,_27754_,0.195080
_25413_,_27054_,0.201339
_25413_,_25473_,0.201343
_25413_,_26798_,0.201343
_25413_,_27182_,0.201344
_25413_,_26670_,0.201348
_25413_,_27310_,0.201349
_25413_,_27438_,0.201351
_25413_,_26542_,0.201363
_24922_,_27572_,0.202680
_24922_,_27555_,0.203795
_24922_,_27635_,0.213719
_24922_,_27593_,0.215389
_24922_,_27553_,0.260084
_24922_,_27755_,0.269003
_24922_,_27633_,0.274512
_24922_,_27620_,0.279633
_24922_,_27594_,0.283901
_24922_,_27596_,0.293870
_24922_,_27621_,0.299684
_27743_,_26949_,0.303047
_27743_,_26437_,0.303049
_27743_,_26053_,0.303050
_27743_,_24841_,0.303051
_27743_,_26309_,0.303053
_27743_,_25913_,0.303055
_24922_,_27595_,0.303683
_27743_,_27333_,0.313531
_27743_,_26821_,0.313532
_27743_,_27077_,0.313534
_27743_,_26565_,0.313538
_27743_,_25496_,0.313543
_27743_,_27205_,0.313553
_27743_,_27461_,0.313553
_27743_,_26693_,0.313555
_24922_,_27581_,0.316958
_24922_,_27610_,0.317044
_24922_,_27552_,0.327645
_24922_,_27575_,0.334288
_24922_,_27765_,0.346027
_24922_,_27753_,0.354660
_24922_,_27637_,0.363864
_24922_,_27573_,0.364861
_25413_,_24859_,0.371366
_25413_,_26071_,0.371366
_25413_,_25931_,0.371367
_25413_,_26967_,0.371367
_25413_,_26327_,0.371389
_25413_,_26455_,0.371394
_27743_,_24802_,0.371748
_27743_,_25874_,0.371748
_27743_,_26014_,0.371748
_27743_,_26270_,0.371748
_27743_,_26398_,0.371748
_27743_,_26910_,0.371748
_27743_,_25457_,0.374883
_27743_,_26526_,0.374883
_27743_,_26654_,0.374883
_27743_,_26782_,0.374883
_27743_,_27038_,0.374883
_27743_,_27166_,0.374883
_27743_,_27294_,0.374883
_27743_,_27422_,0.374883
_25413_,_27479_,0.381492
_25413_,_26711_,0.381494
_25413_,_27223_,0.381497
_25413_,_26839_,0.381541
_25413_,_27095_,0.381562
_25413_,_27351_,0.381565
_25413_,_25514_,0.381585
_25413_,_26583_,0.381675
_25414_,_24825_,0.396654
_25414_,_26037_,0.396654
_25414_,_25897_,0.396655
_25414_,_26933_,0.396655
_25414_,_26293_,0.396677
_25414_,_26421_,0.396683
_24922_,_27556_,0.397056
_24922_,_27630_,0.402549
_24922_,_27604_,0.406013
_25413_,_24827_,0.406165
_25413_,_26039_,0.406165
_25413_,_26295_,0.406188
_25413_,_26423_,0.406194
_25413_,_26935_,0.406224
_25413_,_25899_,0.406263
_24922_,_27612_,0.406372
_25414_,_27317_,0.406670
_25414_,_27445_,0.406680
_25414_,_26677_,0.406682
_25414_,_27189_,0.406685
_25414_,_26805_,0.406729
_25414_,_27061_,0.406750
_25414_,_25480_,0.406773
_25414_,_26549_,0.406863
_24922_,_27561_,0.407963
_27743_,_26918_,0.408482
_27743_,_26406_,0.408483
_27743_,_26022_,0.408484
_27743_,_26278_,0.408487
_27743_,_25882_,0.408490
_27743_,_24810_,0.408490
_27743_,_26914_,0.409005
_27743_,_26402_,0.409007
_27743_,_26018_,0.409008
_27743_,_24806_,0.409009
_27743_,_26274_,0.409011
_27743_,_25878_,0.409013
_24922_,_27567_,0.410492
_24922_,_27763_,0.410743
_24922_,_27566_,0.414260
_27743_,_25746_,0.414726
_25413_,_27447_,0.416248
_25413_,_26679_,0.416250
_25413_,_27191_,0.416253
_25413_,_26807_,0.416297
_25413_,_27063_,0.416318
_25413_,_27319_,0.416321
_25413_,_25482_,0.416341
_25413_,_26551_,0.416431
_27743_,_26790_,0.418557
_27743_,_26534_,0.418563
_27743_,_27046_,0.418565
_27743_,_25465_,0.418568
_27743_,_27302_,0.418576
_27743_,_27174_,0.418578
_27743_,_27430_,0.418578
_27743_,_26662_,0.418580
_27743_,_27298_,0.419307
_27743_,_26786_,0.419308
_27743_,_27042_,0.419310
_27743_,_26530_,0.419314
_27743_,_25461_,0.419319
_27743_,_27170_,0.419329
_27743_,_27426_,0.419329
_27743_,_26658_,0.419331
_25413_,_24795_,0.420410
_25413_,_26007_,0.420410
_25413_,_25867_,0.420411
_25413_,_26391_,0.420413
_25413_,_26263_,0.420416
_25413_,_26903_,0.420469
_25413_,_27287_,0.430873
_25413_,_27031_,0.430876
_25413_,_25450_,0.430879
_25413_,_26775_,0.430879
_25413_,_27415_,0.430883
_25413_,_26647_,0.430885
_25413_,_27159_,0.430888
_25413_,_26519_,0.431066
_24922_,_27600_,0.447855
_24922_,_27618_,0.452380
_24922_,_27609_,0.459899
_24922_,_27632_,0.472832
_24922_,_27750_,0.474020
_25413_,_24891_,0.487222
_25413_,_26103_,0.487222
_25413_,_25963_,0.487223
_25413_,_26359_,0.487228
_25413_,_26487_,0.487250
_25413_,_26999_,0.487281
_24922_,_27602_,0.495680
_27743_,_26978_,0.495904
_27743_,_26466_,0.495906
_27743_,_26082_,0.495906
_27743_,_24870_,0.495908
_27743_,_26210_,0.495909
_27743_,_26338_,0.495910
_27743_,_25942_,0.495912
_25413_,_27383_,0.497347
_25413_,_26871_,0.497354
_25413_,_27511_,0.497357
_25413_,_26743_,0.497360
_25413_,_27255_,0.497362
_25413_,_27127_,0.497427
_25413_,_25546_,0.497450
_25413_,_26615_,0.497541
_24922_,_27545_,0.499774
_27743_,_25880_,0.502724
_27743_,_26404_,0.502725
_27743_,_26916_,0.502724
_27743_,_24808_,0.502730
_27743_,_26276_,0.502730
_27743_,_26020_,0.502821
_24922_,_27767_,0.504605
_27743_,_26218_,0.505446
_27743_,_26986_,0.505450
_27743_,_26090_,0.505452
_27743_,_24878_,0.505454
_27743_,_25950_,0.505453
_27743_,_26346_,0.505453
_27743_,_26474_,0.505483
_27743_,_27362_,0.505968
_27743_,_26850_,0.505969
_27743_,_27106_,0.505971
_27743_,_26594_,0.505975
_27743_,_25525_,0.505981
_27743_,_27234_,0.505990
_27743_,_27490_,0.505990
_27743_,_26722_,0.505992
_24922_,_27557_,0.512462
_27743_,_26532_,0.512803
_27743_,_27044_,0.512805
_27743_,_27428_,0.512806
_27743_,_27300_,0.512810
_27743_,_27172_,0.512811
_27743_,_26788_,0.512816
_27743_,_26660_,0.512820
_27743_,_25463_,0.512829
_27743_,_26602_,0.515715
_27743_,_27114_,0.515718
_27743_,_25533_,0.515721
_27743_,_26858_,0.515729
_27743_,_27370_,0.515729
_27743_,_27242_,0.515731
_27743_,_27498_,0.515731
_27743_,_26730_,0.515732
_24922_,_27636_,0.516916
_27743_,_24809_,0.527149
_27743_,_25881_,0.527149
_27743_,_26021_,0.527149
_27743_,_26277_,0.527149
_27743_,_26405_,0.527149
_27743_,_26917_,0.527149
_27743_,_25464_,0.529970
_27743_,_26533_,0.529970
_27743_,_26661_,0.529970
_27743_,_26789_,0.529970
_27743_,_27045_,0.529970
_27743_,_27173_,0.529970
_27743_,_27301_,0.529970
_27743_,_27429_,0.529970
_27743_,_26982_,0.530068
_27743_,_26470_,0.530069
_27743_,_26086_,0.530070
_27743_,_26342_,0.530073
_27743_,_24874_,0.530076
_27743_,_25946_,0.530076
_24922_,_27554_,0.538140
_27743_,_26854_,0.540195
_27743_,_26598_,0.540201
_27743_,_27110_,0.540203
_27743_,_25529_,0.540207
_27743_,_27366_,0.540215
_27743_,_27238_,0.540216
_27743_,_27494_,0.540216
_27743_,_26726_,0.540218
_24922_,_27776_,0.551454
_24922_,_27592_,0.555992
_27743_,_25785_,0.559653
_27743_,_25902_,0.563038
_27743_,_26426_,0.563037
_27743_,_24830_,0.563039
_27743_,_26938_,0.563039
_27743_,_26042_,0.563041
_27743_,_26298_,0.563043
_27743_,_26412_,0.563617
_27743_,_26284_,0.563621
_27743_,_26924_,0.563644
_27743_,_24816_,0.563707
_27743_,_25888_,0.563713
_27743_,_26028_,0.563713
_24922_,_27585_,0.567201
_24922_,_27759_,0.570276
_25413_,_26446_,0.571135
_25413_,_26318_,0.571139
_25413_,_26958_,0.571162
_27743_,_26922_,0.571175
_27743_,_26026_,0.571176
_27743_,_26282_,0.571176
_27743_,_24814_,0.571179
_27743_,_25886_,0.571178
_27743_,_26410_,0.571208
_25413_,_24850_,0.571225
_25413_,_25922_,0.571231
_25413_,_26062_,0.571231
_27743_,_27322_,0.573109
_27743_,_26554_,0.573115
_27743_,_27066_,0.573118
_27743_,_25485_,0.573121
_27743_,_26810_,0.573129
_27743_,_27194_,0.573131
_27743_,_27450_,0.573131
_27743_,_26682_,0.573133
_27743_,_27052_,0.573691
_27743_,_25471_,0.573694
_27743_,_26796_,0.573694
_27743_,_27180_,0.573696
_27743_,_26668_,0.573700
_27743_,_27308_,0.573700
_27743_,_27436_,0.573702
_27743_,_26540_,0.573715
_24922_,_27564_,0.575610
_27743_,_26444_,0.576031
_27743_,_26316_,0.576034
_27743_,_26956_,0.576088
_27743_,_24848_,0.576121
_27743_,_25920_,0.576130
_27743_,_26060_,0.576166
_27743_,_26538_,0.581099
_27743_,_27050_,0.581101
_27743_,_25469_,0.581104
_27743_,_26794_,0.581112
_27743_,_27306_,0.581112
_27743_,_27178_,0.581114
_27743_,_27434_,0.581114
_27743_,_26666_,0.581116
_25413_,_27086_,0.581209
_25413_,_25505_,0.581212
_25413_,_26830_,0.581212
_25413_,_27214_,0.581214
