launch_flop,capture_flop,slack
_41700_,_51040_,2.539990
_41700_,_51205_,3.395566
_41700_,_51643_,3.409202
_41700_,_50877_,3.470550
_41700_,_50932_,3.470576
_41700_,_50895_,3.485432
_41698_,_50886_,3.498852
_41700_,_50915_,3.519258
_41698_,_50965_,3.537566
_41700_,_50950_,3.546946
_41698_,_50936_,3.546978
_41698_,_50881_,3.548362
_41698_,_50873_,3.552664
_41698_,_50905_,3.557852
_41700_,_45642_,3.565508
_41698_,_50967_,3.568712
_41698_,_50884_,3.576603
_41698_,_50941_,3.579345
_41698_,_50939_,3.604346
_41700_,_50943_,3.606649
_41700_,_45624_,3.614703
_41698_,_45631_,3.615907
_41698_,_50887_,3.616743
_41698_,_50882_,3.629929
_41700_,_50908_,3.636236
_41698_,_45628_,3.636275
_41698_,_45633_,3.646917
_41700_,_50901_,3.655061
_41700_,_50864_,3.655152
_41698_,_50964_,3.677598
_41698_,_50937_,3.682868
_41700_,_51644_,3.688005
_41700_,_50869_,3.688079
_41698_,_50883_,3.688508
_41700_,_45635_,3.712636
_41698_,_50938_,3.716650
_41700_,_50956_,3.716721
_41700_,_51649_,3.716738
_41698_,_45629_,3.720912
_41700_,_45648_,3.732873
_41700_,_50921_,3.744955
_41698_,_50929_,3.747701
_41698_,_50942_,3.749965
_41698_,_50904_,3.752533
_41698_,_45630_,3.756044
_41700_,_50888_,3.756972
_41698_,_50966_,3.763309
_41698_,_45634_,3.775580
_41700_,_50918_,3.780335
_41700_,_49011_,3.780848
_41700_,_50954_,3.783508
_41700_,_50899_,3.783533
_41700_,_51647_,3.784884
_41700_,_51651_,3.789795
_41700_,_50903_,3.789832
_41700_,_50958_,3.789834
_41700_,_50953_,3.792630
_41700_,_51646_,3.792626
_41698_,_50874_,3.793691
_41700_,_50898_,3.793996
_41700_,_45646_,3.800996
_41700_,_45650_,3.807312
_41700_,_50916_,3.808656
_41700_,_45645_,3.811448
_41700_,_50919_,3.813084
_41700_,_50923_,3.818051
_41700_,_45619_,3.820205
_41698_,_50880_,3.826671
_41700_,_50960_,3.827013
_41700_,_50951_,3.836237
_41700_,_50896_,3.836241
_41698_,_45632_,3.841290
_41698_,_50940_,3.842619
_41700_,_50894_,3.845059
_41700_,_51642_,3.846390
_41700_,_50949_,3.846454
_41700_,_45643_,3.854805
_41700_,_45641_,3.862640
_41700_,_50900_,3.873722
_41700_,_50914_,3.874683
_41698_,_50885_,3.884282
_41700_,_50944_,3.892893
_41698_,_50935_,3.920483
_41700_,_50946_,3.921564
_41700_,_51639_,3.921587
_41698_,_45627_,3.926894
_41698_,_45621_,3.926963
_41700_,_51648_,3.934060
_41700_,_50930_,3.935378
_41700_,_50955_,3.935440
_41700_,_50947_,3.936125
_41700_,_50893_,3.948164
_41700_,_50948_,3.948168
_41700_,_51641_,3.949520
_41700_,_50911_,3.949777
_41700_,_50875_,3.951376
_41700_,_45647_,3.951556
_41700_,_50920_,3.963632
_41700_,_50902_,3.966060
_41700_,_50957_,3.966060
_41700_,_51650_,3.967397
_41700_,_50913_,3.977734
_41700_,_50909_,3.982939
_41700_,_45649_,3.983566
_41700_,_50891_,3.984972
_41698_,_50865_,3.989659
_41700_,_50922_,3.995637
_41700_,_50892_,3.997833
_41700_,_51640_,3.997869
_41700_,_45622_,4.005980
_41700_,_45639_,4.013966
_41700_,_50952_,4.020457
_41700_,_50897_,4.020466
_41700_,_51645_,4.020464
_41698_,_50870_,4.022586
_41700_,_50912_,4.026039
_41700_,_45638_,4.027518
_41700_,_50934_,4.034594
_41700_,_45644_,4.036553
_41700_,_50889_,4.044243
_41700_,_50917_,4.048642
_41698_,_50933_,4.048921
_41700_,_50879_,4.050675
_41700_,_45626_,4.054063
_41700_,_45640_,4.082458
_41700_,_50876_,4.103960
_41700_,_50931_,4.105281
_41698_,_50878_,4.106899
_41700_,_45636_,4.109018
_41698_,_50961_,4.161519
_41698_,_45625_,4.169839
_41698_,_45620_,4.204049
_41700_,_45623_,4.281293
_41700_,_51638_,4.300529
_41700_,_50910_,4.328790
_41700_,_50890_,4.394769
_41700_,_45637_,4.406410
_41700_,_50945_,4.431804
_50653_,_50861_,5.387414
_50653_,_50858_,5.412430
_50653_,_50854_,5.412449
_50653_,_50849_,5.412457
_50653_,_50857_,5.412457
_50653_,_50847_,5.412468
_50653_,_50853_,5.412479
_50653_,_50848_,5.412491
_50653_,_50833_,5.460448
_50653_,_50835_,5.460952
_50653_,_50855_,5.478078
_50653_,_50859_,5.478078
_50653_,_50840_,5.522544
_50653_,_50842_,5.522558
_50653_,_50843_,5.522559
_50653_,_50841_,5.522586
_50653_,_50852_,5.527153
_50653_,_50834_,5.537237
_50653_,_50836_,5.557089
_50653_,_50837_,5.557089
_50653_,_50838_,5.557089
_50653_,_50839_,5.557089
_50653_,_50860_,5.557089
_50653_,_50862_,5.557089
_50653_,_50846_,5.561421
