launch_flop,capture_flop,slack
_251445_,_261007_,2.022167
_251662_,_260604_,2.031691
_251662_,_260601_,2.070183
_251445_,_261006_,2.143466
_251449_,_260523_,2.171752
_251662_,_260816_,2.179095
_251445_,_260577_,2.186392
_251662_,_260603_,2.209313
_251445_,_260574_,2.223592
_251662_,_260819_,2.265086
_251456_,_260658_,2.266170
_251449_,_260953_,2.294868
_251445_,_261061_,2.302121
_251449_,_260522_,2.302579
_251445_,_260576_,2.322296
_251662_,_260602_,2.359495
_251662_,_260599_,2.367812
_251445_,_261005_,2.381390
_251449_,_260952_,2.393637
_251662_,_260600_,2.408004
_251662_,_260817_,2.409286
_251445_,_261060_,2.417109
_251456_,_260657_,2.418632
_251445_,_260573_,2.420800
_251662_,_260818_,2.423982
_251662_,_261033_,2.429471
_251662_,_261034_,2.458181
_251662_,_261032_,2.469343
_251453_,_259475_,2.488542
_251662_,_260598_,2.503355
_251449_,_260521_,2.538310
_251456_,_260550_,2.551802
_251662_,_260815_,2.553504
_251465_,_260789_,2.559885
_251463_,_259556_,2.566701
_251456_,_260656_,2.573735
_251445_,_260575_,2.594285
_251465_,_260846_,2.625371
_251453_,_259474_,2.626782
_251445_,_261004_,2.643548
_251444_,_260685_,2.645947
_251662_,_261029_,2.655476
_251662_,_261031_,2.657283
_251456_,_260873_,2.679244
_251465_,_260792_,2.683949
_251463_,_259555_,2.694693
_251456_,_260655_,2.694799
_251662_,_259741_,2.700517
_251449_,_260948_,2.700893
_251441_,_260738_,2.714771
_251443_,_260897_,2.723326
_251442_,_259771_,2.726893
_251449_,_261115_,2.728780
_251456_,_260870_,2.730034
_251465_,_260845_,2.730558
_251465_,_260790_,2.732388
_251456_,_260654_,2.734079
_251662_,_260596_,2.736879
_251456_,_260547_,2.741382
_251449_,_260951_,2.743334
_251449_,_260519_,2.743810
_251662_,_260814_,2.757058
_251456_,_260549_,2.759842
_255930_,_259959_,2.765008
_251449_,_260950_,2.765542
_251444_,_260684_,2.773588
_251465_,_260788_,2.774439
_251445_,_261059_,2.776466
_251453_,_259473_,2.789031
_255935_,_260013_,2.794052
_251662_,_261030_,2.794536
_255987_,_260765_,2.801561
_255930_,_259958_,2.804839
_251662_,_260597_,2.806608
_251465_,_260791_,2.811677
_251441_,_260737_,2.819969
_251662_,_260387_,2.821856
_251449_,_259663_,2.822947
_251465_,_260147_,2.826753
_251456_,_260546_,2.827105
_251461_,_259986_,2.830740
_251465_,_260787_,2.836606
_251461_,_260201_,2.843333
_251449_,_261114_,2.850447
_251456_,_260872_,2.851044
_251449_,_259825_,2.852077
_251443_,_260896_,2.852759
_251456_,_260869_,2.860300
_251460_,_260335_,2.864312
_251453_,_259470_,2.864418
_251449_,_260520_,2.868703
_251449_,_260946_,2.873466
_251441_,_260733_,2.877362
_251456_,_260545_,2.878557
_251455_,_259583_,2.881136
_251456_,_260653_,2.884092
_251662_,_260813_,2.885103
_251662_,_260595_,2.885772
_256108_,_260443_,2.885871
_251456_,_259690_,2.894521
_251455_,_261088_,2.894631
_251445_,_261058_,2.896921
_255987_,_260764_,2.907165
_251442_,_259770_,2.908841
_251465_,_260843_,2.912147
_251449_,_260949_,2.913411
_251662_,_260389_,2.920787
_251441_,_260735_,2.925672
_251456_,_260871_,2.925947
_251445_,_260572_,2.927862
_251453_,_259472_,2.929067
_251662_,_259744_,2.933736
_251444_,_260683_,2.936005
_251465_,_260631_,2.944965
_251463_,_260359_,2.946097
_251461_,_260200_,2.946840
_251449_,_260680_,2.947757
_251662_,_260172_,2.949307
_251463_,_259554_,2.951148
_256108_,_259798_,2.954601
_251465_,_260844_,2.954745
_251449_,_259662_,2.955860
_251445_,_261057_,2.956047
_255935_,_260012_,2.956869
_251444_,_259610_,2.956920
_251662_,_260388_,2.964176
_251465_,_260786_,2.965580
_251460_,_260334_,2.968929
_251461_,_259985_,2.976069
_255951_,_260308_,2.976926
_251662_,_260173_,2.979600
_255951_,_260305_,2.982361
_251449_,_259824_,2.982537
_251662_,_259739_,2.984330
_251443_,_260900_,2.986259
_251449_,_260518_,2.989315
_256108_,_260442_,2.989758
_251456_,_260548_,2.990925
_251441_,_260734_,2.993541
_251662_,_260810_,2.994492
_251662_,_259529_,2.994608
_255930_,_259957_,2.995083
_251444_,_260255_,2.995166
_251662_,_260385_,2.995512
_251456_,_260652_,2.997327
_251662_,_261028_,3.002333
_251662_,_260594_,3.002501
_251465_,_260146_,3.002900
_255951_,_260416_,3.005542
_251456_,_260868_,3.008199
_251456_,_259689_,3.008385
_251455_,_260228_,3.008671
_256108_,_259796_,3.013307
_255935_,_260011_,3.015325
_251662_,_260812_,3.018161
_251449_,_259660_,3.020892
_251465_,_260144_,3.025409
_251449_,_259823_,3.027915
_251662_,_260174_,3.029143
_251449_,_261113_,3.029497
_251662_,_259526_,3.034521
_251442_,_259768_,3.037857
_255928_,_259905_,3.039864
_251453_,_259471_,3.041850
_251445_,_261002_,3.048276
_251456_,_260544_,3.049244
_256108_,_259794_,3.051940
_256108_,_259797_,3.059412
_251463_,_260362_,3.059458
_251445_,_261003_,3.061101
_251465_,_260842_,3.068191
_251662_,_259742_,3.068869
_251449_,_260682_,3.069036
_251449_,_260947_,3.069135
_251455_,_259582_,3.070316
_251456_,_259687_,3.073911
_251465_,_260630_,3.079054
_255930_,_259956_,3.081969
_251463_,_260358_,3.084671
_251444_,_259609_,3.084680
_251445_,_260571_,3.085071
_251662_,_259743_,3.085111
_251662_,_260386_,3.085504
_255987_,_260763_,3.087232
_251463_,_259714_,3.089711
_251449_,_259658_,3.095516
_251662_,_260811_,3.096966
_251455_,_260227_,3.097914
_251465_,_260785_,3.098220
_251441_,_260736_,3.098441
_251461_,_260199_,3.098515
_251465_,_260628_,3.098533
_251662_,_260171_,3.100382
_251444_,_260254_,3.100658
_251456_,_260543_,3.104503
_251455_,_261087_,3.105697
_251456_,_260867_,3.107487
_251445_,_260570_,3.107848
_251461_,_259983_,3.107859
_251445_,_261056_,3.110327
_255951_,_260415_,3.110820
_255951_,_260307_,3.122113
_255951_,_260303_,3.122182
_251444_,_259607_,3.122958
_251465_,_260145_,3.123371
_251662_,_261027_,3.123515
_251449_,_259661_,3.126902
_251662_,_259528_,3.128995
_251455_,_259581_,3.129140
_256108_,_260439_,3.131890
_251449_,_259659_,3.133692
_255935_,_260010_,3.134112
_251456_,_260980_,3.140115
_251443_,_260899_,3.140472
_251456_,_260977_,3.140648
_251462_,_259498_,3.151344
_251443_,_260893_,3.157229
_251465_,_260143_,3.159226
_251445_,_261000_,3.160624
_251460_,_260333_,3.160750
_251463_,_259713_,3.161797
_251465_,_260629_,3.166316
_251463_,_260357_,3.166993
_251465_,_260841_,3.169844
_251442_,_259767_,3.172298
_255928_,_259904_,3.173871
_251449_,_260945_,3.174048
_251445_,_261054_,3.174462
_251465_,_260784_,3.175026
_251463_,_259717_,3.178647
_256108_,_259795_,3.179643
_251443_,_260895_,3.181136
_251444_,_259448_,3.181926
_251449_,_261112_,3.183407
_255987_,_260762_,3.184751
_256108_,_260441_,3.185336
_251456_,_260651_,3.187993
_251443_,_259878_,3.190864
_251444_,_261108_,3.191389
_255951_,_260304_,3.191482
_251442_,_259766_,3.195493
_251449_,_259822_,3.198193
_251449_,_259657_,3.200414
_251449_,_260944_,3.200899
_251449_,_260517_,3.202658
_251444_,_260681_,3.202990
_251449_,_261110_,3.207135
_251463_,_259553_,3.211871
_251453_,_261085_,3.212838
_251456_,_260976_,3.212979
_251455_,_259579_,3.212988
_251441_,_260732_,3.214362
_251456_,_260542_,3.217120
_251463_,_260361_,3.220636
_251462_,_259499_,3.220649
_251465_,_260627_,3.221185
_251456_,_259686_,3.221769
_256108_,_259793_,3.222100
_251463_,_260360_,3.226751
_251460_,_260331_,3.227545
_251461_,_259932_,3.227735
_255951_,_260414_,3.228217
_251465_,_260142_,3.230404
_251444_,_260676_,3.230820
_251456_,_259688_,3.231156
_251662_,_259740_,3.236753
_251456_,_260979_,3.241078
_251445_,_260569_,3.245139
_251442_,_259769_,3.245713
_251662_,_260169_,3.245904
_251449_,_260516_,3.249010
_251465_,_260624_,3.250885
_251449_,_260678_,3.253519
_255987_,_260761_,3.253893
_251662_,_259527_,3.254042
_255930_,_259954_,3.254452
_251455_,_260120_,3.255498
_251462_,_259502_,3.256753
_251453_,_259468_,3.257277
_255930_,_259955_,3.262297
_251461_,_260198_,3.262800
_251461_,_259984_,3.263846
_255951_,_260466_,3.267256
_251662_,_260593_,3.268329
_251445_,_260568_,3.269743
_251462_,_259497_,3.270201
_251449_,_259445_,3.274547
_251453_,_259469_,3.274892
_251445_,_261001_,3.275419
_251463_,_260356_,3.276021
_251444_,_259446_,3.278100
_251455_,_260226_,3.278662
_251461_,_259982_,3.280304
_251444_,_259447_,3.280824
_251662_,_259524_,3.281624
_251449_,_261111_,3.286155
_251465_,_260626_,3.287827
_251662_,_261026_,3.290526
_251463_,_259712_,3.293037
_251444_,_259608_,3.294505
_251465_,_260783_,3.297076
_255951_,_260306_,3.299882
_251465_,_260840_,3.305984
_251449_,_259821_,3.306399
_251456_,_259685_,3.307499
_251455_,_261086_,3.307709
_251444_,_259605_,3.309041
_255928_,_259903_,3.313294
_251662_,_261025_,3.313342
_251444_,_259606_,3.315179
_256108_,_260440_,3.317285
_251445_,_260999_,3.319372
_251662_,_260809_,3.325381
_251449_,_260470_,3.329267
_251461_,_259931_,3.331632
_251443_,_260898_,3.332818
_251462_,_259501_,3.332870
_251450_,_260093_,3.333303
_251443_,_259877_,3.337579
_251463_,_259552_,3.338278
_251453_,_261084_,3.338976
_251463_,_259716_,3.339772
_251456_,_260978_,3.340097
_251443_,_259876_,3.343376
_251449_,_259656_,3.343729
_255935_,_260009_,3.344196
_251453_,_259580_,3.346178
_251463_,_260355_,3.352577
_255951_,_260302_,3.353358
_251443_,_260036_,3.362960
_251455_,_260119_,3.363210
_256108_,_259792_,3.363486
_251465_,_260839_,3.364948
_251445_,_261055_,3.365025
_255928_,_259902_,3.365747
_251662_,_260384_,3.373187
_251443_,_260894_,3.373570
_251445_,_261053_,3.373653
_251445_,_260998_,3.374595
_251456_,_260650_,3.376113
_256108_,_260434_,3.379674
_251443_,_259875_,3.380724
_251462_,_259496_,3.381483
_251463_,_259551_,3.381526
_251453_,_261083_,3.383428
_251662_,_259525_,3.386143
_251461_,_259981_,3.388328
_251465_,_260140_,3.388518
_255930_,_259953_,3.388945
_251461_,_259929_,3.392799
_251662_,_260170_,3.392955
_255935_,_260006_,3.393614
_251456_,_260973_,3.396275
_251444_,_260250_,3.396660
_251449_,_260514_,3.396754
_251463_,_259715_,3.399505
_251449_,_259654_,3.403502
_251465_,_260141_,3.404817
_251463_,_259711_,3.405426
_251455_,_260225_,3.405462
_256108_,_260438_,3.408200
_251463_,_259710_,3.409085
_251456_,_260975_,3.409819
_251662_,_260592_,3.409969
_255935_,_260008_,3.412740
_251456_,_259684_,3.416285
_251449_,_260679_,3.419089
_251455_,_260221_,3.420032
_251450_,_260089_,3.420502
_251449_,_261109_,3.420573
_251456_,_260974_,3.420878
_255951_,_260413_,3.421415
_251662_,_259738_,3.422665
_251449_,_260677_,3.424132
_251442_,_259765_,3.425763
_251463_,_259709_,3.426096
_251449_,_260943_,3.428293
_251453_,_259467_,3.432653
_251449_,_259820_,3.433715
_251465_,_260838_,3.435055
_251460_,_260332_,3.437128
_251463_,_260354_,3.437586
_255930_,_259952_,3.439017
_251465_,_260623_,3.439069
_255951_,_260469_,3.440258
_251443_,_260037_,3.445915
_251455_,_259578_,3.445957
_251465_,_260782_,3.447617
_251450_,_260092_,3.449593
_251461_,_260197_,3.450647
_255951_,_260467_,3.452138
_251449_,_260515_,3.454783
_251456_,_260865_,3.467137
_251444_,_260253_,3.467412
_251465_,_260625_,3.467674
_251449_,_259819_,3.471104
_251449_,_260942_,3.472292
_255951_,_260465_,3.474459
_251456_,_259683_,3.475010
_251465_,_260566_,3.475415
_251444_,_259603_,3.479700
_251461_,_260194_,3.482612
_251444_,_259604_,3.483162
_251444_,_260252_,3.486570
_251456_,_260541_,3.489560
_251443_,_259874_,3.494685
_251461_,_260196_,3.495161
_251456_,_260539_,3.496775
_251441_,_260731_,3.497127
_255928_,_259901_,3.498384
_256108_,_260436_,3.501827
_251461_,_259930_,3.502068
_251443_,_260892_,3.505904
_251443_,_260040_,3.505970
_255935_,_260007_,3.510263
_256108_,_260437_,3.513386
_251465_,_260139_,3.521624
_251461_,_259928_,3.526168
_251456_,_260537_,3.533003
_251443_,_260891_,3.535935
_251449_,_259655_,3.536641
_251465_,_260622_,3.540017
_251662_,_259523_,3.541783
_251453_,_261081_,3.542418
_251449_,_259818_,3.543030
