launch_flop,capture_flop,slack
_11071_,_10902_,0.962746
_11071_,_10904_,1.015602
_11071_,_10903_,1.039446
_11071_,_10896_,1.046860
_11071_,_10899_,1.059869
_11071_,_10898_,1.069015
_11071_,_10901_,1.076461
_11071_,_10900_,1.078890
_10845_,_10261_,1.141744
_10845_,_10329_,1.141744
_10845_,_10361_,1.141744
_10845_,_10425_,1.141744
_10845_,_10489_,1.141744
_10845_,_10521_,1.141744
_10845_,_10553_,1.141744
_10845_,_10649_,1.141744
_10845_,_10681_,1.141744
_10845_,_10713_,1.141744
_10845_,_10745_,1.141744
_10845_,_10777_,1.141744
_10845_,_11215_,1.141744
_10845_,_11327_,1.141744
_10845_,_11359_,1.141744
_10845_,_11428_,1.141744
_10845_,_11534_,1.141744
_10845_,_11566_,1.141744
_10845_,_11598_,1.141744
_10845_,_11630_,1.141744
_10845_,_11697_,1.141744
_10845_,_11729_,1.141744
_10845_,_11761_,1.141744
_10845_,_11825_,1.141744
_11071_,_10897_,1.148566
_10845_,_10617_,1.151331
_10845_,_10585_,1.151334
_10845_,_10393_,1.151381
_10845_,_11662_,1.151381
_10845_,_10457_,1.151390
_10845_,_11470_,1.151390
_10845_,_11502_,1.151390
_11071_,_10890_,1.207584
_11071_,_10892_,1.222180
_10845_,_10356_,1.257269
_10845_,_11529_,1.257269
_10845_,_10256_,1.257286
_10845_,_10324_,1.257286
_10845_,_10420_,1.257286
_10845_,_10484_,1.257286
_10845_,_10516_,1.257286
_10845_,_10548_,1.257286
_10845_,_10644_,1.257286
_10845_,_10676_,1.257286
_10845_,_10708_,1.257286
_10845_,_10740_,1.257286
_10845_,_10772_,1.257286
_10845_,_11210_,1.257286
_10845_,_11322_,1.257286
_10845_,_11354_,1.257286
_10845_,_11423_,1.257286
_10845_,_11561_,1.257286
_10845_,_11593_,1.257286
_10845_,_11625_,1.257286
_10845_,_11692_,1.257286
_10845_,_11724_,1.257286
_10845_,_11756_,1.257286
_10845_,_11820_,1.257286
_10845_,_10260_,1.257629
_10845_,_10328_,1.257629
_10845_,_10360_,1.257628
_10845_,_10424_,1.257629
_10845_,_10488_,1.257629
_10845_,_10520_,1.257629
_10845_,_10552_,1.257629
_10845_,_10648_,1.257629
_10845_,_10680_,1.257629
_10845_,_10712_,1.257629
_10845_,_10744_,1.257629
_10845_,_10776_,1.257629
_10845_,_11214_,1.257629
_10845_,_11326_,1.257629
_10845_,_11358_,1.257629
_10845_,_11427_,1.257629
_10845_,_11533_,1.257628
_10845_,_11565_,1.257629
_10845_,_11597_,1.257629
_10845_,_11629_,1.257629
_10845_,_11696_,1.257629
_10845_,_11728_,1.257629
_10845_,_11760_,1.257629
_10845_,_11824_,1.257629
_11071_,_10895_,1.258113
_11071_,_10894_,1.259606
_10845_,_10580_,1.267111
_10845_,_10388_,1.267158
_10845_,_11657_,1.267158
_10845_,_10452_,1.267167
_10845_,_11465_,1.267167
_10845_,_11497_,1.267167
_10845_,_10612_,1.267214
_10845_,_10456_,1.267383
_10845_,_11469_,1.267383
_10845_,_11501_,1.267383
_10845_,_10584_,1.267390
_10845_,_10616_,1.267396
_10845_,_10392_,1.267445
_10845_,_11661_,1.267445
_10845_,_10258_,1.280934
_10845_,_10326_,1.280934
_10845_,_10358_,1.280934
_10845_,_10422_,1.280934
_10845_,_10486_,1.280934
_10845_,_10518_,1.280934
_10845_,_10550_,1.280934
_10845_,_10646_,1.280934
_10845_,_10678_,1.280934
_10845_,_10710_,1.280934
_10845_,_10742_,1.280934
_10845_,_10774_,1.280934
_10845_,_11212_,1.280934
_10845_,_11324_,1.280934
_10845_,_11356_,1.280934
_10845_,_11425_,1.280934
_10845_,_11531_,1.280934
_10845_,_11563_,1.280934
_10845_,_11595_,1.280934
_10845_,_11627_,1.280934
_10845_,_11694_,1.280934
_10845_,_11726_,1.280934
_10845_,_11758_,1.280934
_10845_,_11822_,1.280934
_11360_,_10278_,1.283296
_10845_,_10357_,1.283802
_10845_,_11530_,1.283802
_10845_,_10257_,1.283808
_10845_,_10325_,1.283808
_10845_,_10421_,1.283808
_10845_,_10485_,1.283808
_10845_,_10517_,1.283808
_10845_,_10549_,1.283808
_10845_,_10645_,1.283808
_10845_,_10677_,1.283808
_10845_,_10709_,1.283808
_10845_,_10741_,1.283808
_10845_,_10773_,1.283808
_10845_,_11211_,1.283808
_10845_,_11323_,1.283808
_10845_,_11355_,1.283808
_10845_,_11424_,1.283808
_10845_,_11562_,1.283808
_10845_,_11594_,1.283808
_10845_,_11626_,1.283808
_10845_,_11693_,1.283808
_10845_,_11725_,1.283808
_10845_,_11757_,1.283808
_10845_,_11821_,1.283808
_11360_,_10283_,1.289887
_11360_,_10284_,1.289887
_10845_,_10582_,1.290666
_10845_,_10390_,1.290713
_10845_,_11659_,1.290713
_10845_,_10454_,1.290722
_10845_,_11467_,1.290722
_10845_,_11499_,1.290722
_10845_,_10614_,1.290770
_10845_,_10581_,1.293595
_10845_,_10389_,1.293642
_10845_,_11658_,1.293642
_10845_,_10453_,1.293651
_10845_,_11466_,1.293651
_10845_,_11498_,1.293651
_10845_,_10613_,1.293699
_11071_,_10891_,1.298017
_10907_,_10958_,1.304671
_10845_,_10259_,1.328613
_10845_,_10327_,1.328613
_10845_,_10359_,1.328613
