launch_flop,capture_flop,slack
_18454_,_19305_,1.000271
_18454_,_19313_,1.042296
_18454_,_19120_,1.080602
_18454_,_19309_,1.088218
_18454_,_19121_,1.100142
_18454_,_19308_,1.126759
_18454_,_19117_,1.139279
_18454_,_19312_,1.164052
_18454_,_19310_,1.171232
_18454_,_19307_,1.192898
_18454_,_19119_,1.195046
_18454_,_19311_,1.216764
_18454_,_19303_,1.251781
_18454_,_19116_,1.273099
_18454_,_19118_,1.339708
_18454_,_19306_,1.349469
_18454_,_19304_,1.362241
_18454_,_19115_,1.372870
_18454_,_19110_,1.380179
_18454_,_19113_,1.389264
_18454_,_19112_,1.401740
_18454_,_19109_,1.414868
_18454_,_19114_,1.488350
_18454_,_19108_,1.522609
_18454_,_19302_,1.555507
_18454_,_19111_,1.614235
_18454_,_19107_,1.683123
_18454_,_19301_,1.700504
_18454_,_19300_,1.786978
_18454_,_19297_,1.856457
_18454_,_19299_,1.857100
_18454_,_19106_,2.020065
_18454_,_19105_,2.040182
_18454_,_19298_,2.064015
_18454_,_19104_,2.087427
_18454_,_19296_,2.121719
_18454_,_19295_,2.217450
_18454_,_19103_,2.317397
_18454_,_19294_,2.363585
_18454_,_19292_,2.473766
_18454_,_19293_,2.519964
_18454_,_19102_,2.617425
_19028_,_19153_,2.706259
_18454_,_19101_,2.775491
_19028_,_19152_,2.803874
_18380_,_19290_,2.816204
_18380_,_19291_,2.839875
_18454_,_19099_,2.912127
_18963_,_19281_,2.927948
_18380_,_19100_,2.937731
_18963_,_19280_,2.968504
_19092_,_18865_,2.974672
_19156_,_18961_,2.988834
_18380_,_19289_,2.996240
_19028_,_19151_,3.005650
_19156_,_18960_,3.122510
_19186_,_19346_,3.124959
_19092_,_18864_,3.126702
_19284_,_18929_,3.131270
_19188_,_19345_,3.164791
_19060_,_19024_,3.183036
_18380_,_19288_,3.186762
_19028_,_19150_,3.190652
_19060_,_19025_,3.216716
_18962_,_19279_,3.227117
_18380_,_19096_,3.231587
_18380_,_19098_,3.232159
_18380_,_19286_,3.239813
_19028_,_19149_,3.251986
_19220_,_18897_,3.269674
_18380_,_19287_,3.278793
_18380_,_19097_,3.284933
_19220_,_18896_,3.289268
_19284_,_18928_,3.291524
_18454_,_17605_,3.341581
_19156_,_18959_,3.360729
_19092_,_18863_,3.378927
_19156_,_18958_,3.390711
_18962_,_19278_,3.391358
_19156_,_18957_,3.416566
_19028_,_19148_,3.422802
_19188_,_19344_,3.435137
_18380_,_19095_,3.449582
_19284_,_18927_,3.462472
_19060_,_19023_,3.489184
_19028_,_19147_,3.560623
_19092_,_18862_,3.572086
_19220_,_18895_,3.574651
_18962_,_19276_,3.611199
_18462_,_17604_,3.637291
_19156_,_18955_,3.638119
_19188_,_19343_,3.640326
_18962_,_19277_,3.654345
_18380_,_19285_,3.691950
_18380_,_19284_,3.693779
_18462_,_17603_,3.699948
_19156_,_18956_,3.701509
_19220_,_18894_,3.734764
_19060_,_19022_,3.751228
_18380_,_19094_,3.766380
_19284_,_18926_,3.767890
_19092_,_18861_,3.801165
_18380_,_19093_,3.809543
_19188_,_19342_,3.815349
_18962_,_19275_,3.864319
_19060_,_19021_,3.896235
_19220_,_18893_,3.920130
_19284_,_18925_,3.922751
_18462_,_17602_,3.944674
_19060_,_19020_,3.951773
_19156_,_18954_,3.981724
_19188_,_19341_,3.984463
_19092_,_18860_,3.994981
_18462_,_17601_,3.997759
_18380_,_19091_,4.022586
