launch_flop,capture_flop,slack
_2060_,_1948_,-0.115875
_2060_,_1947_,0.027993
_2030_,_2057_,0.250055
_2060_,_1946_,0.286230
_2060_,_1939_,0.391780
_2030_,_2058_,0.409775
_2030_,_1980_,0.478516
_2060_,_1944_,0.542864
_2060_,_1945_,0.574841
_2030_,_2056_,0.588184
_2060_,_1938_,0.651801
_2028_,_2033_,0.692996
_2028_,_2047_,0.692996
_2028_,_2029_,0.695349
_2028_,_2030_,0.695349
_2028_,_2032_,0.695349
_2028_,_2055_,0.695349
_2060_,_1937_,0.700708
_2028_,_2028_,0.734703
_2028_,_2031_,0.771708
_2028_,_2041_,0.836335
_2028_,_2038_,0.867503
_2028_,_2035_,0.878819
_2028_,_2044_,0.880970
_2028_,_2034_,0.881340
_2028_,_2037_,0.898487
_2060_,_1943_,0.903715
_2060_,_1936_,0.906847
_2060_,_1942_,0.914970
_2028_,_2050_,0.917175
_2030_,_2054_,0.917791
_2028_,_2043_,0.941722
_2028_,_2053_,0.942815
_2028_,_2036_,0.965304
_2028_,_1995_,0.992562
_2060_,_1935_,1.022897
_2028_,_2048_,1.041625
_2028_,_2051_,1.056255
_2028_,_2042_,1.057709
_2028_,_2039_,1.088873
_2028_,_2052_,1.093298
_2028_,_2045_,1.093360
_2028_,_2040_,1.102427
_2028_,_1981_,1.153437
_2060_,_1941_,1.191833
_2028_,_2046_,1.199868
_2028_,_2049_,1.206546
_2028_,_2059_,1.361709
_2060_,_1934_,1.375500
_2060_,_1940_,1.389476
_2060_,_1933_,1.409283
_2003_,_2027_,1.564717
_2060_,_1932_,1.599794
_2003_,_2026_,1.640821
_2060_,_1929_,1.730323
_2003_,_2024_,1.761573
_2003_,_2025_,1.806653
_2060_,_1927_,1.811053
_2003_,_2022_,1.860232
_2003_,_1997_,1.869261
_2060_,_1928_,1.871656
_2003_,_2019_,1.890212
_2003_,_2023_,1.905132
_2060_,_1926_,1.956839
_2003_,_2018_,1.966622
_2003_,_2021_,1.967546
_2060_,_1931_,1.981907
_2060_,_1930_,1.984626
_2003_,_2015_,2.082476
_2003_,_2016_,2.088229
_2003_,_2017_,2.132674
_2003_,_2020_,2.133476
_2060_,_1925_,2.221311
_2003_,_2014_,2.248461
_2003_,_2011_,2.303189
_2003_,_2013_,2.324460
_2003_,_2009_,2.423773
_2003_,_2012_,2.437573
_2003_,_2010_,2.469028
_2060_,_1923_,2.475508
_2003_,_2007_,2.560460
_2060_,_1924_,2.561823
_2003_,_2008_,2.669513
_2003_,_2005_,2.679173
_2003_,_2006_,2.725829
_1999_,_2003_,2.744573
_1999_,_2001_,2.865140
_2060_,_1922_,2.869481
_1999_,_2002_,2.910408
_1993_,_1920_,3.034513
_1993_,_1921_,3.034539
_1993_,_2061_,3.046803
_1993_,_1992_,3.103655
_1999_,_2000_,3.107464
_1993_,_1991_,3.108062
_2003_,_2004_,3.111528
_1993_,_1999_,3.159949
_1993_,_1994_,3.179080
_1993_,_1990_,3.193387
_1993_,_1988_,3.205914
_1993_,_1973_,3.211746
_1993_,_1959_,3.211752
_1993_,_1965_,3.211969
_1993_,_1966_,3.212022
_1993_,_1958_,3.212028
_1993_,_1971_,3.216831
_1993_,_1960_,3.216852
_1993_,_1967_,3.216877
_1993_,_1963_,3.216883
_1993_,_1961_,3.216893
_1993_,_1974_,3.216908
_1993_,_1969_,3.216976
_1993_,_1964_,3.216994
_1993_,_1972_,3.216999
_1993_,_1968_,3.217051
_1993_,_1976_,3.217052
_1993_,_1962_,3.217070
_1993_,_1975_,3.217086
_1993_,_1977_,3.217094
_1993_,_1970_,3.217098
_1993_,_1953_,3.219489
_1993_,_1954_,3.219512
_1993_,_1957_,3.219610
_1993_,_1986_,3.222579
_1993_,_1987_,3.222579
_1993_,_1989_,3.222579
_1993_,_1956_,3.224670
_1993_,_1955_,3.224720
_1993_,_1949_,3.224782
_1993_,_1950_,3.224782
_1993_,_1951_,3.224782
_1993_,_1952_,3.224783
_1993_,_1993_,3.226264
_1993_,_1982_,3.228316
_1993_,_1984_,3.229491
_1993_,_1985_,3.236288
_1993_,_1998_,3.273514
_1983_,_1978_,3.295688
_1993_,_2060_,3.316583
_1993_,_1979_,3.418832
_1993_,_1996_,3.641314
_1985_,_1985_,-0.058558
_1981_,_1981_,-0.047869
_1988_,_1988_,-0.032404
_1976_,_1976_,-0.030771
_2048_,_2048_,-0.029634
_1947_,_1948_,-0.028984
_1920_,_1921_,-0.028714
_1944_,_1945_,-0.027740
_1967_,_1967_,-0.027555
_1923_,_1924_,-0.027157
_1978_,_1978_,-0.025153
_1936_,_1937_,-0.023569
_1989_,_1989_,-0.023367
_1976_,_1975_,-0.021656
_1949_,_1949_,-0.020646
_1967_,_1966_,-0.018306
_1991_,_1996_,-0.017167
_1978_,_1977_,-0.015905
_1930_,_1931_,-0.013473
_1950_,_1950_,-0.012904
_1951_,_1951_,-0.010669
_1952_,_1952_,-0.010669
_1971_,_1971_,-0.010642
_1941_,_1942_,-0.005604
_1973_,_1973_,-0.005226
_1971_,_1970_,-0.000271
_1969_,_1969_,0.003728
_1973_,_1972_,0.004524
_1929_,_1930_,0.004583
_1943_,_1944_,0.006572
_1935_,_1936_,0.007601
_1933_,_1934_,0.008009
_1945_,_1946_,0.008528
_1942_,_1943_,0.009038
_1928_,_1929_,0.009936
_2059_,_2060_,0.010924
_1984_,_1993_,0.011434
_1963_,_1963_,0.012055
_1953_,_1953_,0.012103
_1986_,_1986_,0.012718
_1969_,_1968_,0.015014
_1940_,_1941_,0.015086
_1959_,_1959_,0.015526
_2061_,_1920_,0.017654
_1987_,_1987_,0.017931
_1938_,_1939_,0.018386
_1956_,_1956_,0.018871
_1927_,_1928_,0.018998
_1939_,_1940_,0.020134
_1926_,_1927_,0.020151
_1934_,_1935_,0.020214
_1922_,_1923_,0.020518
_1924_,_1925_,0.021310
_1932_,_1933_,0.022551
_2060_,_2061_,0.022826
_1980_,_1980_,0.023168
_1963_,_1962_,0.023799
_1946_,_1947_,0.025711
_1959_,_1958_,0.026525
_1956_,_1955_,0.030969
_1931_,_1932_,0.037124
_1921_,_1922_,0.037604
_1937_,_1938_,0.038699
_1925_,_1926_,0.039762
_1965_,_1965_,0.043995
_2051_,_2051_,0.044565
_1957_,_1957_,0.045512
_1994_,_1979_,0.045714
_2059_,_2059_,0.049300
_1964_,_1964_,0.049404
_1961_,_1961_,0.055661
_1991_,_1990_,0.056770
_1975_,_1974_,0.058030
_1955_,_1954_,0.058583
_1960_,_1960_,0.060117
_1999_,_1999_,0.060378
_1994_,_1994_,0.062165
_2042_,_2042_,0.062877
_1992_,_1992_,0.065474
_2037_,_2037_,0.073366
_2057_,_2058_,0.073925
_1989_,_1984_,0.077134
_1991_,_1991_,0.077596
_1995_,_1995_,0.079033
_2054_,_2054_,0.089576
_2049_,_2049_,0.094732
_2004_,_2004_,0.096132
_2003_,_2003_,0.096256
_2007_,_2007_,0.096256
_2011_,_2011_,0.096256
_2015_,_2015_,0.096256
_2019_,_2019_,0.096256
_2027_,_2027_,0.096256
_2021_,_2021_,0.096945
_2023_,_2023_,0.097257
_2020_,_2020_,0.101702
_2002_,_2002_,0.102127
_2006_,_2006_,0.102127
_2010_,_2010_,0.102127
_2014_,_2014_,0.102127
_1991_,_1982_,0.103333
_2056_,_2056_,0.108375
_1999_,_1998_,0.108788
_2018_,_2018_,0.110162
_2026_,_2026_,0.110162
_2013_,_2013_,0.112255
_2017_,_2017_,0.112720
_2025_,_2025_,0.112720
_2045_,_2045_,0.115823
_2050_,_2050_,0.122268
_2057_,_2057_,0.123843
_2052_,_2052_,0.127432
_2000_,_2000_,0.133816
_2040_,_2040_,0.135309
_2043_,_2043_,0.139672
_2039_,_2039_,0.140526
_2046_,_2046_,0.141704
_2028_,_2028_,0.148462
_2008_,_2008_,0.153029
_2012_,_2012_,0.153029
_2034_,_2034_,0.157346
_2035_,_2035_,0.164487
_2022_,_2022_,0.167789
_2005_,_2005_,0.170598
_2001_,_2001_,0.170600
_2009_,_2009_,0.170600
_2027_,_1997_,0.172183
_2053_,_2053_,0.181177
_2024_,_2024_,0.181594
_2016_,_2016_,0.181609
_2038_,_2038_,0.185993
_2044_,_2044_,0.195853
_1983_,_2036_,0.207407
_2041_,_2041_,0.220270
_2055_,_2055_,0.222557
_2047_,_2047_,0.234637
_2033_,_2033_,0.240831
_2031_,_2031_,0.272152
_2030_,_2030_,0.279366
_2029_,_2029_,0.297292
_2032_,_2032_,0.337625
