run_id,placement_id,design_name,aspect_ratio,core_util,density,synth_strategy,io_mode,time_driven,routability_driven,cts_max_wire,cts_buf_dist,cts_cluster_size,cts_cluster_dia,skew_setup,skew_hold,setup_slack,hold_slack,setup_tns,hold_tns,setup_vio_count,hold_vio_count,power_total,wirelength,utilization,clock_buffers,clock_inverters,timing_repair_buffers,def_path,saif_path,timing_path_csv
0,sha256_run_20260307_125527,sha256,1.4,62,0.85,DELAY 4,1,1,1,160,134,13,52,0.540082,-0.673222,-3.0124,-0.0213034,-37.1954,-0.0213034,31,1,0.013664,438910,0.623982,278,37,99,../dataset_with_def/placement_files/sha256_run_20260307_125527/sha256.def,../dataset_with_def/placement_files/sha256_run_20260307_125527/sha256.saif,../dataset_with_def/placement_files/sha256_run_20260307_125527/timing_paths.csv
1,sha256_run_20260307_125527,sha256,1.4,62,0.85,DELAY 4,1,1,1,253,140,14,49,0.548769,-0.540176,-3.01991,-0.02046,-37.5387,-0.02046,31,1,0.0135152,438938,0.623543,256,55,99,../dataset_with_def/placement_files/sha256_run_20260307_125527/sha256.def,../dataset_with_def/placement_files/sha256_run_20260307_125527/sha256.saif,../dataset_with_def/placement_files/sha256_run_20260307_125527/timing_paths.csv
2,sha256_run_20260307_125527,sha256,1.4,62,0.85,DELAY 4,1,1,1,184,150,24,44,0.689992,-0.697487,-3.03009,-0.0199762,-37.6253,-0.0199762,31,1,0.0143017,441013,0.627233,225,122,99,../dataset_with_def/placement_files/sha256_run_20260307_125527/sha256.def,../dataset_with_def/placement_files/sha256_run_20260307_125527/sha256.saif,../dataset_with_def/placement_files/sha256_run_20260307_125527/timing_paths.csv
3,sha256_run_20260307_125527,sha256,1.4,62,0.85,DELAY 4,1,1,1,172,144,28,64,0.550338,-0.733893,-3.0462,-0.0168329,-37.8866,-0.0168329,31,1,0.0126707,433715,0.619046,126,80,99,../dataset_with_def/placement_files/sha256_run_20260307_125527/sha256.def,../dataset_with_def/placement_files/sha256_run_20260307_125527/sha256.saif,../dataset_with_def/placement_files/sha256_run_20260307_125527/timing_paths.csv
4,sha256_run_20260307_125527,sha256,1.4,62,0.85,DELAY 4,1,1,1,219,134,12,40,0.676511,-0.700353,-3.02296,-0.0214584,-37.7198,-0.0214584,31,1,0.014824,443344,0.629877,298,124,99,../dataset_with_def/placement_files/sha256_run_20260307_125527/sha256.def,../dataset_with_def/placement_files/sha256_run_20260307_125527/sha256.saif,../dataset_with_def/placement_files/sha256_run_20260307_125527/timing_paths.csv
5,sha256_run_20260307_125527,sha256,1.4,62,0.85,DELAY 4,1,1,1,267,123,13,51,0.54194,-0.667342,-3.00734,-0.0218343,-37.0867,-0.0218343,31,1,0.0137097,439277,0.624258,276,46,99,../dataset_with_def/placement_files/sha256_run_20260307_125527/sha256.def,../dataset_with_def/placement_files/sha256_run_20260307_125527/sha256.saif,../dataset_with_def/placement_files/sha256_run_20260307_125527/timing_paths.csv
6,sha256_run_20260307_125527,sha256,1.4,62,0.85,DELAY 4,1,1,1,220,132,27,66,0.554941,-0.730247,-3.0527,-0.0140418,-37.5919,-0.0140418,31,1,0.0126303,434106,0.618796,126,76,99,../dataset_with_def/placement_files/sha256_run_20260307_125527/sha256.def,../dataset_with_def/placement_files/sha256_run_20260307_125527/sha256.saif,../dataset_with_def/placement_files/sha256_run_20260307_125527/timing_paths.csv
7,sha256_run_20260307_125527,sha256,1.4,62,0.85,DELAY 4,1,1,1,245,80,28,43,0.724776,-0.733026,-3.04082,-0.0199764,-37.7106,-0.0199764,31,1,0.014179,440361,0.626924,226,138,99,../dataset_with_def/placement_files/sha256_run_20260307_125527/sha256.def,../dataset_with_def/placement_files/sha256_run_20260307_125527/sha256.saif,../dataset_with_def/placement_files/sha256_run_20260307_125527/timing_paths.csv
8,sha256_run_20260307_125527,sha256,1.4,62,0.85,DELAY 4,1,1,1,143,137,19,38,0.734205,-0.821276,-3.10066,-0.140243,-40.0151,-0.867058,32,11,0.0152524,444225,0.632002,283,166,99,../dataset_with_def/placement_files/sha256_run_20260307_125527/sha256.def,../dataset_with_def/placement_files/sha256_run_20260307_125527/sha256.saif,../dataset_with_def/placement_files/sha256_run_20260307_125527/timing_paths.csv
9,sha256_run_20260307_125527,sha256,1.4,62,0.85,DELAY 4,1,1,1,151,78,13,63,0.568661,-0.681627,-3.04454,-0.0197588,-37.9222,-0.0197588,31,1,0.013107,437976,0.621592,279,18,99,../dataset_with_def/placement_files/sha256_run_20260307_125527/sha256.def,../dataset_with_def/placement_files/sha256_run_20260307_125527/sha256.saif,../dataset_with_def/placement_files/sha256_run_20260307_125527/timing_paths.csv
10,sha256_run_20260307_130304,sha256,0.7,65,0.84,DELAY 1,1,0,1,230,119,26,68,0.539424,-0.529849,0.223267,-0.0144036,0,-0.6876,0,144,0.0121384,384449,0.652494,139,40,209,../dataset_with_def/placement_files/sha256_run_20260307_130304/sha256.def,../dataset_with_def/placement_files/sha256_run_20260307_130304/sha256.saif,../dataset_with_def/placement_files/sha256_run_20260307_130304/timing_paths.csv
