run_id,placement_id,design_name,aspect_ratio,core_util,density,synth_strategy,io_mode,time_driven,routability_driven,cts_max_wire,cts_buf_dist,cts_cluster_size,cts_cluster_dia,skew_setup,skew_hold,setup_slack,hold_slack,setup_tns,hold_tns,setup_vio_count,hold_vio_count,power_total,wirelength,utilization,clock_buffers,clock_inverters,timing_repair_buffers,def_path,saif_path,timing_path_csv
0,sha256_run_20260311_151945,sha256,1.0,53,0.62,AREA 0,0,1,0,252,102,17,53,0.707236,-0.710976,-4.01916,-0.0250548,-128.307,-2.7829,76,240,0.0187648,303856,0.534101,247,149,156,../dataset_with_def/placement_files/sha256_run_20260311_151945/sha256.def,../dataset_with_def/placement_files/sha256_run_20260311_151945/sha256.saif,../dataset_with_def/placement_files/sha256_run_20260311_151945/timing_paths.csv
1,sha256_run_20260311_151945,sha256,1.0,53,0.62,AREA 0,0,1,0,193,108,22,54,0.721395,-0.714891,-4.03866,-0.0244721,-129.374,-2.59535,76,233,0.018156,303279,0.532067,233,133,156,../dataset_with_def/placement_files/sha256_run_20260311_151945/sha256.def,../dataset_with_def/placement_files/sha256_run_20260311_151945/sha256.saif,../dataset_with_def/placement_files/sha256_run_20260311_151945/timing_paths.csv
2,sha256_run_20260311_151945,sha256,1.0,53,0.62,AREA 0,0,1,0,202,117,18,65,0.717885,-0.725019,-3.99641,-0.02161,-127.469,-1.96225,77,223,0.017218,302339,0.527876,201,86,156,../dataset_with_def/placement_files/sha256_run_20260311_151945/sha256.def,../dataset_with_def/placement_files/sha256_run_20260311_151945/sha256.saif,../dataset_with_def/placement_files/sha256_run_20260311_151945/timing_paths.csv
3,sha256_run_20260311_151945,sha256,1.0,53,0.62,AREA 0,0,1,0,264,90,27,58,0.73515,-0.714532,-4.04316,-0.0240897,-130.173,-2.22373,78,228,0.0178112,303303,0.530246,200,120,156,../dataset_with_def/placement_files/sha256_run_20260311_151945/sha256.def,../dataset_with_def/placement_files/sha256_run_20260311_151945/sha256.saif,../dataset_with_def/placement_files/sha256_run_20260311_151945/timing_paths.csv
4,sha256_run_20260311_151945,sha256,1.0,53,0.62,AREA 0,0,1,0,152,137,21,49,0.690561,-0.702296,-3.99913,-0.025372,-127.505,-3.0404,77,242,0.0197335,304795,0.537605,272,170,156,../dataset_with_def/placement_files/sha256_run_20260311_151945/sha256.def,../dataset_with_def/placement_files/sha256_run_20260311_151945/sha256.saif,../dataset_with_def/placement_files/sha256_run_20260311_151945/timing_paths.csv
5,sha256_run_20260311_151945,sha256,1.0,53,0.62,AREA 0,0,1,0,241,91,29,50,0.719768,-0.734933,-4.00121,-0.0311539,-127.51,-2.90076,77,237,0.0195298,304797,0.537011,274,164,156,../dataset_with_def/placement_files/sha256_run_20260311_151945/sha256.def,../dataset_with_def/placement_files/sha256_run_20260311_151945/sha256.saif,../dataset_with_def/placement_files/sha256_run_20260311_151945/timing_paths.csv
6,sha256_run_20260311_151945,sha256,1.0,53,0.62,AREA 0,0,1,0,150,108,16,37,0.78767,-0.806918,-3.95662,-0.0805195,-124.484,-4.09612,76,258,0.023641,309013,0.553076,472,212,156,../dataset_with_def/placement_files/sha256_run_20260311_151945/sha256.def,../dataset_with_def/placement_files/sha256_run_20260311_151945/sha256.saif,../dataset_with_def/placement_files/sha256_run_20260311_151945/timing_paths.csv
7,sha256_run_20260311_151945,sha256,1.0,53,0.62,AREA 0,0,1,0,180,81,20,43,0.691882,-0.708366,-3.8833,-0.0469761,-122.322,-3.67418,77,243,0.0210492,307690,0.54344,393,177,156,../dataset_with_def/placement_files/sha256_run_20260311_151945/sha256.def,../dataset_with_def/placement_files/sha256_run_20260311_151945/sha256.saif,../dataset_with_def/placement_files/sha256_run_20260311_151945/timing_paths.csv
8,sha256_run_20260311_151945,sha256,1.0,53,0.62,AREA 0,0,1,0,273,149,23,39,0.685266,-0.683247,-3.87084,-0.0290916,-121.102,-3.66943,75,247,0.0233518,309097,0.551437,415,224,156,../dataset_with_def/placement_files/sha256_run_20260311_151945/sha256.def,../dataset_with_def/placement_files/sha256_run_20260311_151945/sha256.saif,../dataset_with_def/placement_files/sha256_run_20260311_151945/timing_paths.csv
9,sha256_run_20260311_151945,sha256,1.0,53,0.62,AREA 0,0,1,0,156,148,20,42,0.654676,-0.670558,-3.90511,-0.0298067,-122.424,-3.6241,76,245,0.0218968,307744,0.54635,391,198,156,../dataset_with_def/placement_files/sha256_run_20260311_151945/sha256.def,../dataset_with_def/placement_files/sha256_run_20260311_151945/sha256.saif,../dataset_with_def/placement_files/sha256_run_20260311_151945/timing_paths.csv
