launch_flop,capture_flop,slack
_1867_,_1894_,1.111412
_1976_,_1999_,1.393405
_1867_,_1892_,1.406053
_1940_,_1968_,1.443641
_1867_,_1893_,1.484637
_1940_,_1966_,1.495766
_1940_,_1967_,1.512258
_1940_,_1969_,1.519335
_1976_,_2000_,1.525259
_1940_,_1970_,1.547454
_1983_,_1990_,1.569732
_1983_,_1989_,1.574510
_1983_,_1991_,1.595051
_1983_,_1995_,1.595051
_1983_,_1993_,1.595456
_1983_,_1997_,1.597397
_1976_,_2004_,1.598385
_1976_,_2003_,1.598768
_1983_,_1979_,1.606701
_1983_,_1980_,1.606701
_1867_,_1889_,1.608926
_1983_,_1981_,1.609048
_1983_,_1983_,1.609048
_1983_,_1986_,1.609048
_1940_,_1972_,1.612792
_1940_,_1973_,1.612833
_1976_,_1926_,1.616102
_1983_,_1975_,1.638135
_1983_,_1977_,1.638135
_1983_,_1976_,1.641401
_1983_,_1992_,1.651976
_1983_,_1998_,1.651976
_2006_,_1880_,1.653640
_1983_,_1994_,1.657231
_1983_,_1996_,1.657231
_1867_,_1888_,1.675695
_1983_,_1978_,1.679040
_1983_,_2001_,1.679102
_1867_,_1890_,1.685237
_1945_,_1958_,1.686809
_1983_,_1982_,1.688940
_1867_,_1891_,1.703600
_1940_,_1971_,1.731256
_1945_,_1956_,1.736737
_1976_,_2002_,1.749347
_2000_,_1984_,1.760895
_2000_,_1985_,1.760969
_2000_,_1987_,1.766210
_2000_,_1988_,1.766284
_1940_,_1943_,1.774072
_1983_,_2005_,1.776618
_1940_,_1965_,1.789277
_1983_,_1941_,1.840434
_1940_,_1963_,1.892807
_2000_,_1974_,1.933206
_1940_,_1961_,1.945205
_1867_,_1886_,1.998776
_2006_,_1877_,2.006815
_1867_,_1887_,2.037154
_2006_,_1879_,2.054841
_1945_,_1951_,2.077805
_2006_,_1874_,2.102493
_1945_,_1955_,2.109474
_1945_,_1953_,2.109507
_1940_,_1964_,2.142393
_2006_,_1875_,2.181888
_2000_,_1927_,2.268418
_1867_,_1883_,2.273103
_1940_,_1962_,2.342265
_1940_,_1960_,2.344633
_1867_,_1885_,2.388597
_1867_,_1881_,2.418538
_1867_,_1884_,2.458738
_1940_,_1959_,2.463174
_2006_,_1871_,2.524039
_2006_,_1873_,2.524198
_1945_,_1950_,2.547162
_1929_,_1945_,2.579643
_1929_,_1946_,2.579643
_1929_,_1948_,2.579643
_1929_,_1952_,2.579643
_1929_,_1957_,2.579643
_1945_,_1949_,2.628433
_1929_,_1947_,2.636458
_1929_,_1954_,2.638826
_1867_,_1882_,2.646328
_1929_,_1944_,2.654592
_2006_,_1870_,2.656312
_2006_,_1872_,2.666126
_1867_,_1876_,2.832915
_1867_,_1878_,2.842826
_2006_,_1868_,2.965012
_1929_,_1928_,3.005896
_1929_,_1919_,3.009592
_1929_,_1940_,3.010670
_1929_,_1897_,3.011955
_1929_,_1896_,3.011962
_1929_,_1895_,3.011967
_1929_,_1898_,3.011967
_1929_,_1899_,3.011967
_1929_,_1900_,3.011967
_1929_,_1901_,3.011967
_1929_,_1902_,3.011967
_1929_,_1903_,3.011967
_1929_,_1904_,3.011967
_1929_,_1905_,3.011967
_1929_,_1906_,3.011967
_1929_,_1907_,3.011967
_1929_,_1908_,3.011967
_1929_,_1909_,3.011967
_1929_,_1910_,3.011967
_1929_,_1911_,3.011967
_1929_,_1912_,3.011967
_1929_,_1913_,3.011967
_1929_,_1914_,3.011967
_1929_,_1915_,3.011967
_1929_,_1916_,3.011967
_1929_,_1917_,3.011967
_1929_,_1918_,3.011967
_1929_,_1920_,3.011967
_1929_,_1921_,3.011967
_1929_,_1922_,3.011967
_1929_,_1923_,3.011967
_1929_,_1924_,3.011967
_1929_,_1925_,3.011967
_1929_,_1932_,3.036656
_1929_,_1934_,3.036656
_1929_,_1935_,3.045081
_2006_,_1867_,3.081032
_2006_,_1869_,3.093024
_2006_,_1866_,3.278594
_1939_,_2007_,3.370573
_1929_,_1933_,3.413284
_1937_,_1936_,3.432207
_1939_,_1937_,3.480460
_1937_,_1938_,3.518610
_1929_,_1931_,3.520482
_1939_,_2006_,3.554279
_1939_,_1930_,3.619528
_1939_,_1942_,3.766263
_1937_,_1939_,3.791375
_1937_,_1937_,-0.049066
_1938_,_1938_,-0.048827
_1927_,_1927_,-0.047869
_1937_,_1942_,-0.047749
_1931_,_1931_,-0.037997
