cd,cs,mw,bd,power_mW,wl_mm,skew_ns
66,30,280,150,67.89512128488742,1395.494660537714,0.705912684464561
66,18,260,150,67.89512128488742,1405.0537185284977,0.701536610478627
66,22,260,150,67.89512128488742,1402.6319401801288,0.701732658360798
66,23,260,150,67.89512128488742,1400.5565191267729,0.7018232968811112
66,24,260,150,67.89512128488742,1398.5612330762908,0.7030529292756258
66,28,280,150,67.89512128488742,1396.0826786950445,0.703824331165044
66,26,260,150,67.89512128488742,1397.6460873687001,0.7032474854562281
66,24,260,150,67.89512128488742,1398.5612330762908,0.7030529292756258
66,29,280,150,67.89512128488742,1395.7933634958558,0.7054331122488234
66,26,260,150,67.89512128488742,1397.6460873687001,0.7032474854562281
66,21,260,150,67.89512128488742,1403.1769101976504,0.7015757949099787
66,23,280,150,67.89512128488742,1399.7822676859823,0.7023466460902259
66,28,260,150,67.89512128488742,1396.8548838089366,0.7033009819559293
66,23,280,150,67.89512128488742,1399.7822676859823,0.7023466460902259
66,22,260,150,67.89512128488742,1402.6319401801288,0.701732658360798
66,23,280,150,67.89512128488742,1399.7822676859823,0.7023466460902259
66,28,280,150,67.89512128488742,1396.0826786950445,0.703824331165044
66,23,260,150,67.89512128488742,1400.5565191267729,0.7018232968811112
66,23,260,150,67.89512128488742,1400.5565191267729,0.7018232968811112
66,29,280,150,67.89512128488742,1395.7933634958558,0.7054331122488234
66,22,260,150,67.89512128488742,1402.6319401801288,0.701732658360798
66,28,260,150,67.89512128488742,1396.8548838089366,0.7033009819559293
66,21,260,150,67.89512128488742,1403.1769101976504,0.7015757949099787
66,21,260,150,67.89512128488742,1403.1769101976504,0.7015757949099787
66,28,280,150,67.89512128488742,1396.0826786950445,0.703824331165044
66,29,280,150,67.89512128488742,1395.7933634958558,0.7054331122488234
66,18,260,150,67.89512128488742,1405.0537185284977,0.701536610478627
66,28,260,150,67.89512128488742,1396.8548838089366,0.7033009819559293
66,28,280,150,67.89512128488742,1396.0826786950445,0.703824331165044
66,21,260,150,67.89512128488742,1403.1769101976504,0.7015757949099787
66,29,280,150,67.89512128488742,1395.7933634958558,0.7054331122488234
