cd,cs,mw,bd,power_mW,wl_mm,skew_ns
66,26,259,145,67.89512128488742,1397.9733533023812,0.7032474854562281
66,27,257,150,67.89512128488742,1397.2470244075412,0.7035841841030749
66,30,259,147,67.89512128488742,1396.4775748936909,0.7053893352554464
66,29,277,146,67.89512128488742,1396.1393176146146,0.7054331122488234
65,21,258,146,67.89512128488742,1404.2102396030768,0.7018137910816092
66,27,277,149,67.89512128488742,1396.5343507950238,0.703824331165044
66,18,259,144,67.89512128488742,1405.4411278710572,0.701536610478627
66,22,275,148,67.89512128488742,1402.1643702532497,0.7022560075699126
66,20,250,147,67.89512128488742,1405.295587189808,0.7017071872663414
65,21,257,149,67.89512128488742,1404.07343033534,0.7020969932287549
66,21,265,148,67.89512128488742,1403.0905943471244,0.7020991441190932
66,23,272,149,67.89512128488742,1400.1462247681768,0.7023466460902259
70,27,279,147,67.91526711824234,1393.4848206051122,0.7045890650789007
68,28,269,150,67.91526711824234,1395.0145611507382,0.7039866506473414
69,21,259,148,67.91526711824234,1401.1721653114987,0.7016554831205195
69,26,280,146,67.91526711824234,1394.903309024944,0.7040606680149302
68,26,260,150,67.91526711824234,1396.1575556048058,0.7034098049385256
70,26,278,148,67.91526711824234,1393.9757415869708,0.7045355685791995
70,28,254,149,67.91526711824234,1394.0478706715173,0.7044419176342198
69,23,255,148,67.91526711824234,1398.6532113885082,0.7023431693090545
70,23,256,148,67.91526711824234,1397.7249642233753,0.7029196196822515
69,18,259,149,67.91526711824234,1402.988209033964,0.7016162986891679
69,28,258,140,67.91526711824234,1395.308302498467,0.7038305004918819
69,26,260,139,67.91526711824234,1396.081782519711,0.7037770039921806
68,23,278,146,67.91526711824234,1398.599766593954,0.7025089655725234
68,23,252,150,67.91526711824234,1399.3653634096024,0.7021170087197716
70,30,258,148,67.91526711824234,1393.3687778896258,0.7058070240282012
70,27,260,147,67.91526711824234,1394.217379688685,0.7040657158697862
69,23,276,150,67.91526711824234,1397.7294922752533,0.7026330523857846
70,23,273,147,67.91526711824234,1397.127222580277,0.7032095027589814
70,30,261,148,67.91526711824234,1393.2561967814945,0.7064240985006517
