cd,cs,mw,bd,power_mW,wl_mm,skew_ns
66,28,253,149,67.89512128488742,1397.1752953630598,0.7037972592152071
66,21,253,147,67.89512128488742,1403.6150383622232,0.7017071872663414
66,29,276,145,67.89512128488742,1396.2354555745926,0.7054331122488234
66,28,269,149,67.89512128488742,1396.559634528307,0.703824331165044
66,27,258,146,67.89512128488742,1397.4409652111883,0.7033009819559293
66,23,259,144,67.89512128488742,1400.9426884761276,0.7018232968811112
66,23,276,147,67.89512128488742,1400.1094133152865,0.7023466460902259
66,18,254,148,67.89512128488742,1405.3965585662206,0.7016680028349898
66,22,258,149,67.89512128488742,1402.765479667331,0.701732658360798
66,28,256,146,67.89512128488742,1397.2366356642851,0.7035344480883139
69,21,252,144,67.91526711824234,1401.6679982457642,0.7017868754768822
70,30,258,150,67.91526711824234,1393.2534694648368,0.7058070240282012
68,23,249,143,67.91526711824234,1399.8838506591335,0.7020973859382109
69,23,258,148,67.91526711824234,1398.5405262756647,0.7021097031766699
70,29,279,148,67.91526711824234,1392.8597594742323,0.7058508010215782
68,21,260,150,67.91526711824234,1401.7352311855911,0.7015313963072584
69,27,259,135,67.91526711824234,1395.8419487462645,0.703875189550487
68,28,250,146,67.91526711824234,1395.972696023633,0.7038395032026605
68,27,256,144,67.91526711824234,1396.1436567167336,0.7036967675706114
68,28,276,148,67.91526711824234,1394.863943580465,0.7039866506473414
69,28,270,150,67.91526711824234,1394.2633485193792,0.7041141645146314
69,23,277,144,67.91526711824234,1398.0390051545094,0.7026330523857846
68,26,276,146,67.91526711824234,1395.7697470104795,0.7039331541476402
69,24,259,145,67.91526711824234,1396.6843201825907,0.7033427626252132
70,27,266,143,67.91526711824234,1394.2101314212848,0.7046424897960224
70,28,274,141,67.91526711824234,1393.7443324144956,0.7047530039909129
69,27,254,149,67.91526711824234,1395.2152173476675,0.7039670170699505
