cd,cs,mw,bd,power_mW,wl_mm,skew_ns
69,16,261,150,189.6369999987237,6721.91159316166,1.0574647706686815
70,27,279,147,189.6369999987237,6695.400440444789,1.0596645579410953
70,22,279,145,189.6369999987237,6701.626402995654,1.0594663133792124
70,16,268,147,189.6369999987237,6711.692644733265,1.0576214023793293
70,23,278,141,189.6369999987237,6702.686128192255,1.0591518333901524
69,15,262,144,189.6369999987237,6723.426976612281,1.0574236616298407
70,18,266,150,189.6369999987237,6710.81957601352,1.0578966672807992
70,19,279,150,189.6369999987237,6702.088968823146,1.0592245122708377
70,16,280,147,189.6369999987237,6704.212618687325,1.0578980483971303
70,17,280,147,189.6369999987237,6703.435000888582,1.0583510394109386
69,27,279,148,189.6369999987237,6701.799274919448,1.0594595625211471
