cd,cs,mw,bd,power_mW,wl_mm,skew_ns
70,29,279,148,189.6369999987237,6692.410002705573,1.060940532025636
69,18,267,137,189.6369999987237,6720.5224574353715,1.0576815879536432
69,18,280,147,189.6369999987237,6709.613493746037,1.057968317878652
70,20,279,139,189.6369999987237,6704.409521006151,1.0590192009451187
70,17,278,146,189.6369999987237,6704.960565184133,1.058440512358629
69,28,279,136,189.6369999987237,6703.817145278445,1.0593343742229115
70,18,269,135,189.6369999987237,6713.144738940499,1.0577643330173583
70,16,279,127,189.6369999987237,6710.457277977671,1.057958320531575
70,18,270,142,189.6369999987237,6710.556887621316,1.0578487931009253
69,15,277,147,189.6369999987237,6713.236224048059,1.057684291610239
70,16,253,148,189.6369999987237,6720.743246535546,1.0575352956506427
70,19,278,144,189.6369999987237,6704.380004095059,1.0592848373768688
70,28,279,134,189.6369999987237,6697.701188453772,1.0594171192866266
69,15,264,148,189.6369999987237,6721.0652820664845,1.057407645592438
70,16,264,128,189.6369999987237,6719.526847878664,1.057681674513774
