cd,cs,mw,bd,power_mW,wl_mm,skew_ns
70,12,255,79,12.69153192797546,436.4672592546803,0.5345592288262523
70,22,259,131,12.69153192797546,434.3381513156186,0.5354295761728471
70,22,253,139,12.69153192797546,434.1868289883705,0.5356746307663894
70,29,204,140,12.69153192797546,433.4590873040931,0.5374831738660844
70,15,260,149,12.69153192797546,434.6823706521831,0.5351750546235158
70,27,254,134,12.69153192797546,433.8096169858261,0.5370415406312945
70,23,256,148,12.69153192797546,433.9476994660426,0.5362920716106189
70,22,257,141,12.69153192797546,434.1542649838626,0.5356788056629918
70,13,258,148,12.69153192797546,435.0378216617292,0.535082021100472
70,15,257,149,12.69153192797546,434.67971727280514,0.535420109217058
70,14,259,129,12.69153192797546,435.1793935145898,0.5349099757480328
70,30,225,149,12.69153192797546,433.2342244136807,0.5377018014669243
70,21,260,141,12.69153192797546,434.2150203666125,0.5355061549841906
70,30,237,150,12.69153192797546,433.2309770740502,0.537873958204818
70,30,169,150,12.69153192797546,433.1249124409066,0.5416029800298138
70,30,199,150,12.69153192797546,433.17698709216756,0.5382809974177054
70,21,259,149,12.69153192797546,434.0698710430215,0.5357573786604475
70,27,260,147,12.69153192797546,433.5797115400675,0.537157640921301
70,14,251,138,12.69153192797546,435.00731271578303,0.5351550303415751
70,22,251,150,12.69153192797546,433.9864541081661,0.5359300293392485
70,13,264,77,12.69153192797546,436.4019787651986,0.5346112388481872
70,30,204,130,12.69153192797546,433.54740361550745,0.5373125159120156
70,15,258,73,12.69153192797546,436.13865582538983,0.5347063283642017
70,30,203,147,12.69153192797546,433.23758304793597,0.537652033356226
70,29,203,150,12.69153192797546,433.277405191338,0.5375783682832934
70,12,258,135,12.69153192797546,435.38725972374806,0.534818459406795
69,12,260,119,12.710622325190311,436.12696269950965,0.5347089021864584
67,13,258,74,13.019679764457683,437.2704123046091,0.534491004122683
67,12,258,76,13.019679764457683,437.3433503949866,0.5343034803429346
